,,,,,,,
Date,High,Avg,Low,High,Avg,Low,Sum
1/1/2020,30.3 C,25.5 C,21.1 C,22.4 C,19.0 C,14.7 C,0.00 mm
1/2/2020,31.6 C,24.7 C,18.9 C,22.9 C,19.7 C,14.7 C,0.00 mm
1/3/2020,33.2 C,28.3 C,22.7 C,24.4 C,19.9 C,14.8 C,0.00 mm
1/4/2020,34.4 C,26.6 C,19.0 C,25.5 C,19.3 C,14.7 C,0.00 mm
1/5/2020,34.7 C,27.1 C,18.9 C,25.8 C,20.4 C,14.7 C,0.00 mm
1/6/2020,30.0 C,23.2 C,17.6 C,21.4 C,16.6 C,9.2 C,0.00 mm
1/7/2020,32.0 C,23.6 C,13.4 C,23.3 C,16.5 C,10.6 C,0.00 mm
1/8/2020,35.4 C,27.4 C,16.9 C,26.4 C,20.5 C,14.4 C,0.00 mm
1/9/2020,31.1 C,26.0 C,21.5 C,22.4 C,18.5 C,14.7 C,0.00 mm
1/10/2020,24.2 C,23.1 C,22.0 C,21.4 C,17.8 C,14.7 C,3.05 mm
1/11/2020,33.8 C,30.1 C,25.8 C,24.9 C,21.5 C,17.4 C,3.05 mm
1/12/2020,31.7 C,27.2 C,23.8 C,23.0 C,18.8 C,15.6 C,3.05 mm
1/13/2020,36.0 C,28.9 C,23.6 C,27.0 C,20.4 C,15.4 C,3.05 mm
1/14/2020,36.3 C,30.2 C,24.4 C,27.3 C,21.6 C,16.1 C,3.05 mm
1/15/2020,31.1 C,25.2 C,19.6 C,22.4 C,17.6 C,13.4 C,5.84 mm
1/16/2020,30.2 C,22.7 C,15.0 C,21.6 C,15.7 C,10.8 C,5.84 mm
1/17/2020,30.6 C,24.0 C,17.3 C,21.9 C,16.8 C,12.5 C,5.84 mm
1/18/2020,33.3 C,27.2 C,18.9 C,24.4 C,19.4 C,14.0 C,0.00 mm
1/19/2020,36.2 C,29.7 C,23.3 C,27.2 C,21.1 C,15.1 C,0.00 mm
1/20/2020,32.6 C,27.8 C,23.1 C,23.8 C,19.3 C,14.9 C,45.72 mm
1/21/2020,32.5 C,26.2 C,22.7 C,23.7 C,17.9 C,14.7 C,63.50 mm
1/22/2020,34.7 C,26.6 C,20.4 C,25.8 C,20.8 C,14.7 C,17.78 mm
1/23/2020,35.3 C,27.6 C,21.2 C,26.3 C,20.7 C,14.7 C,0.00 mm
1/24/2020,34.4 C,27.1 C,19.7 C,25.5 C,20.3 C,14.7 C,0.00 mm
1/25/2020,38.0 C,29.2 C,20.4 C,28.9 C,22.4 C,14.7 C,0.00 mm
1/26/2020,35.0 C,27.4 C,21.5 C,26.1 C,20.0 C,14.7 C,0.00 mm
1/27/2020,33.4 C,25.2 C,20.5 C,24.6 C,17.4 C,13.8 C,0.00 mm
1/28/2020,33.6 C,25.5 C,16.4 C,24.8 C,18.9 C,14.7 C,0.00 mm
1/29/2020,25.5 C,22.4 C,19.2 C,21.6 C,18.2 C,14.7 C,2.79 mm
1/30/2020,29.6 C,22.5 C,17.7 C,21.0 C,17.6 C,10.9 C,2.79 mm
1/31/2020,31.0 C,23.1 C,13.4 C,22.3 C,16.2 C,10.6 C,0.00 mm
2/1/2020,33.9 C,26.2 C,17.5 C,25.1 C,19.4 C,14.7 C,0.00 mm
2/2/2020,36.3 C,27.6 C,18.6 C,27.3 C,21.1 C,14.7 C,0.00 mm
2/3/2020,36.0 C,28.4 C,19.0 C,27.0 C,21.3 C,14.7 C,0.00 mm
2/4/2020,38.0 C,29.7 C,21.9 C,28.9 C,21.9 C,14.7 C,0.00 mm
2/5/2020,28.4 C,23.2 C,18.7 C,22.6 C,18.8 C,14.7 C,93.98 mm
2/6/2020,29.6 C,23.8 C,20.2 C,22.7 C,19.5 C,14.7 C,95.00 mm
2/7/2020,28.3 C,24.1 C,22.2 C,22.7 C,17.9 C,14.7 C,97.79 mm
2/8/2020,22.7 C,22.2 C,21.4 C,22.6 C,22.0 C,21.2 C,0.00 mm
2/9/2020,25.0 C,21.9 C,18.5 C,20.9 C,18.1 C,14.6 C,3.05 mm
2/10/2020,29.6 C,22.1 C,15.9 C,21.0 C,17.3 C,14.7 C,3.05 mm
2/11/2020,32.9 C,23.5 C,16.6 C,24.1 C,18.0 C,14.6 C,0.00 mm
2/12/2020,32.5 C,25.0 C,18.3 C,23.7 C,18.7 C,14.8 C,0.00 mm
2/13/2020,31.5 C,25.8 C,19.1 C,22.8 C,18.9 C,14.7 C,0.00 mm
2/14/2020,33.8 C,26.4 C,22.4 C,24.9 C,18.7 C,14.7 C,0.00 mm
2/15/2020,37.5 C,28.2 C,20.6 C,28.4 C,21.8 C,14.7 C,0.00 mm
2/16/2020,36.1 C,29.1 C,24.1 C,27.1 C,20.6 C,15.8 C,0.00 mm
2/17/2020,30.5 C,23.3 C,20.8 C,22.7 C,18.7 C,14.7 C,54.86 mm
2/18/2020,32.5 C,22.8 C,15.8 C,23.7 C,17.8 C,12.9 C,54.86 mm
2/19/2020,31.6 C,22.6 C,15.5 C,22.9 C,17.3 C,13.3 C,0.00 mm
2/20/2020,29.2 C,21.7 C,17.5 C,20.7 C,16.3 C,10.3 C,0.00 mm
2/21/2020,28.7 C,20.8 C,16.0 C,20.2 C,13.1 C,9.1 C,0.00 mm
2/22/2020,29.3 C,20.7 C,9.9 C,20.7 C,14.4 C,8.5 C,0.00 mm
2/23/2020,27.9 C,24.7 C,19.3 C,19.4 C,16.9 C,14.7 C,0.00 mm
2/24/2020,31.4 C,23.0 C,14.6 C,22.7 C,17.5 C,13.5 C,0.00 mm
2/25/2020,31.5 C,24.1 C,18.3 C,22.8 C,18.5 C,14.8 C,14.22 mm
2/26/2020,33.6 C,22.8 C,14.1 C,24.8 C,17.4 C,12.2 C,14.22 mm
2/27/2020,32.9 C,23.1 C,13.9 C,24.1 C,17.2 C,12.4 C,0.00 mm
2/28/2020,35.4 C,25.4 C,15.8 C,26.4 C,19.0 C,14.3 C,0.00 mm
2/29/2020,35.5 C,25.9 C,16.9 C,26.6 C,19.7 C,14.7 C,0.00 mm
3/1/2020,34.1 C,25.8 C,16.8 C,25.2 C,19.6 C,14.7 C,0.00 mm
3/2/2020,24.5 C,20.7 C,17.3 C,18.1 C,16.1 C,14.8 C,0.00 mm
3/3/2020,34.6 C,26.3 C,17.1 C,25.7 C,18.9 C,14.5 C,0.00 mm
3/4/2020,36.6 C,27.1 C,18.8 C,27.6 C,20.0 C,14.7 C,0.00 mm
3/5/2020,35.3 C,27.2 C,19.1 C,26.3 C,19.8 C,14.7 C,0.00 mm
3/6/2020,32.8 C,25.6 C,18.7 C,24.0 C,19.0 C,14.6 C,0.00 mm
3/7/2020,34.7 C,26.7 C,17.9 C,25.8 C,20.0 C,14.7 C,0.00 mm
3/8/2020,36.9 C,27.5 C,18.6 C,27.8 C,20.9 C,14.7 C,0.00 mm
3/9/2020,38.6 C,28.7 C,20.6 C,29.4 C,21.4 C,14.6 C,0.00 mm
3/10/2020,33.2 C,25.9 C,19.7 C,24.4 C,19.6 C,14.7 C,2.54 mm
3/11/2020,38.4 C,27.7 C,20.3 C,29.2 C,20.5 C,14.8 C,5.84 mm
3/12/2020,28.7 C,22.3 C,18.3 C,22.7 C,18.6 C,14.6 C,23.11 mm
3/14/2020,27.2 C,22.9 C,19.5 C,18.8 C,16.7 C,14.1 C,0.00 mm
3/15/2020,19.5 C,16.6 C,13.9 C,17.3 C,15.8 C,13.7 C,27.18 mm
3/16/2020,30.2 C,22.7 C,17.4 C,21.6 C,17.9 C,14.7 C,27.18 mm
3/17/2020,23.3 C,20.9 C,17.6 C,22.7 C,20.3 C,14.7 C,24.64 mm
3/18/2020,17.8 C,16.8 C,16.1 C,17.6 C,16.6 C,15.9 C,24.64 mm
3/19/2020,32.8 C,26.8 C,17.3 C,24.0 C,18.9 C,9.4 C,24.64 mm
3/20/2020,31.1 C,21.5 C,12.4 C,22.4 C,15.8 C,11.7 C,0.00 mm
3/21/2020,30.3 C,22.4 C,14.4 C,21.7 C,16.9 C,13.6 C,0.00 mm
3/22/2020,31.6 C,23.4 C,15.1 C,22.9 C,17.9 C,14.6 C,0.00 mm
3/23/2020,33.2 C,26.7 C,19.0 C,24.4 C,19.4 C,14.7 C,0.00 mm
3/24/2020,34.5 C,26.6 C,18.9 C,25.6 C,19.9 C,14.7 C,0.00 mm
3/25/2020,26.5 C,21.9 C,18.3 C,21.9 C,19.0 C,14.7 C,5.59 mm
3/26/2020,26.3 C,20.7 C,18.3 C,22.1 C,18.7 C,14.7 C,6.86 mm
3/27/2020,23.7 C,20.9 C,17.3 C,22.1 C,19.3 C,14.7 C,7.11 mm
3/28/2020,28.4 C,21.2 C,16.9 C,22.3 C,18.2 C,14.7 C,7.11 mm
3/29/2020,32.9 C,23.7 C,18.5 C,24.1 C,19.9 C,14.7 C,0.00 mm
3/30/2020,35.1 C,24.2 C,17.0 C,26.2 C,19.2 C,14.6 C,0.25 mm
3/31/2020,31.3 C,24.8 C,20.9 C,22.6 C,19.6 C,14.7 C,0.25 mm
4/1/2020,28.6 C,23.4 C,19.1 C,22.7 C,19.9 C,14.7 C,1.02 mm
4/2/2020,26.7 C,19.8 C,14.3 C,18.6 C,14.8 C,9.6 C,1.02 mm
4/3/2020,27.7 C,17.6 C,0.0 C,19.2 C,11.8 C,7.2 C,1.02 mm
4/4/2020,28.0 C,19.0 C,10.8 C,19.5 C,14.3 C,10.4 C,1.02 mm
4/5/2020,30.1 C,20.9 C,14.3 C,21.5 C,16.7 C,13.9 C,1.02 mm
4/6/2020,24.4 C,18.7 C,14.3 C,17.3 C,11.2 C,3.4 C,1.02 mm
4/7/2020,25.2 C,20.2 C,0.0 C,16.9 C,8.7 C,4.0 C,1.02 mm
4/8/2020,--,--,--,--,--,--,--
4/9/2020,26.8 C,19.9 C,9.8 C,18.4 C,12.9 C,7.8 C,0.00 mm
4/10/2020,21.8 C,12.6 C,9.4 C,14.6 C,9.6 C,7.5 C,0.00 mm
4/11/2020,26.2 C,21.8 C,0.0 C,17.8 C,13.8 C,10.7 C,0.00 mm
4/12/2020,27.4 C,19.8 C,11.1 C,18.9 C,13.9 C,10.2 C,0.00 mm
4/13/2020,23.9 C,17.5 C,12.9 C,16.6 C,13.7 C,10.2 C,14.48 mm
4/14/2020,27.4 C,16.6 C,0.0 C,18.9 C,11.7 C,7.6 C,14.48 mm
4/15/2020,28.1 C,17.5 C,8.6 C,19.6 C,11.4 C,6.4 C,0.00 mm
4/16/2020,26.7 C,17.8 C,10.2 C,18.3 C,12.3 C,8.5 C,0.00 mm
4/17/2020,27.7 C,18.8 C,11.2 C,19.2 C,12.6 C,7.1 C,0.00 mm
4/18/2020,27.5 C,18.7 C,0.0 C,19.1 C,13.2 C,9.2 C,0.00 mm
4/19/2020,30.2 C,20.4 C,11.6 C,21.6 C,15.4 C,11.4 C,0.00 mm
4/20/2020,25.5 C,16.8 C,13.9 C,18.7 C,15.0 C,13.6 C,0.00 mm
4/21/2020,30.5 C,20.2 C,14.1 C,21.8 C,15.8 C,12.7 C,0.00 mm
4/22/2020,28.3 C,21.2 C,15.6 C,19.8 C,16.8 C,14.7 C,0.00 mm
4/23/2020,30.0 C,23.4 C,17.8 C,21.4 C,17.3 C,14.7 C,0.00 mm
4/24/2020,35.6 C,26.1 C,18.0 C,26.7 C,19.5 C,14.7 C,0.00 mm
4/25/2020,26.0 C,20.3 C,18.0 C,20.1 C,17.8 C,14.6 C,0.00 mm
4/26/2020,20.1 C,18.2 C,16.6 C,19.7 C,18.0 C,16.4 C,17.02 mm
4/27/2020,20.7 C,19.6 C,18.5 C,20.6 C,19.4 C,18.3 C,21.34 mm
4/28/2020,24.4 C,19.3 C,12.2 C,20.1 C,16.7 C,9.8 C,5.59 mm
4/29/2020,28.9 C,16.5 C,8.3 C,20.3 C,10.2 C,5.9 C,0.00 mm
4/30/2020,25.8 C,18.9 C,14.8 C,17.4 C,13.0 C,9.1 C,0.00 mm
5/1/2020,30.3 C,19.5 C,11.3 C,21.7 C,14.5 C,9.4 C,0.00 mm
5/2/2020,25.0 C,21.8 C,18.1 C,16.7 C,14.0 C,10.8 C,0.00 mm
5/3/2020,21.2 C,16.8 C,16.1 C,14.3 C,12.2 C,11.7 C,0.00 mm
5/4/2020,25.6 C,18.7 C,13.8 C,17.3 C,14.7 C,13.1 C,0.00 mm
5/5/2020,19.9 C,14.0 C,0.0 C,14.4 C,9.2 C,3.6 C,1.52 mm
5/6/2020,22.7 C,11.2 C,3.8 C,8.4 C,4.7 C,2.0 C,1.52 mm
5/7/2020,20.7 C,11.5 C,3.5 C,9.2 C,6.6 C,3.3 C,1.52 mm
5/8/2020,21.0 C,10.1 C,6.1 C,9.9 C,7.2 C,5.6 C,0.00 mm
5/9/2020,27.3 C,20.4 C,12.4 C,18.8 C,11.9 C,6.8 C,0.00 mm
5/10/2020,32.1 C,19.6 C,0.0 C,23.4 C,13.0 C,8.4 C,0.00 mm
5/11/2020,23.7 C,16.8 C,11.0 C,15.5 C,6.0 C,1.8 C,0.00 mm
5/12/2020,23.3 C,14.5 C,8.1 C,15.1 C,4.8 C,1.7 C,0.00 mm
5/13/2020,18.9 C,10.7 C,6.4 C,7.0 C,4.1 C,1.8 C,0.00 mm
5/14/2020,21.3 C,11.7 C,3.2 C,9.4 C,5.0 C,1.7 C,0.00 mm
5/15/2020,30.4 C,15.7 C,6.8 C,21.8 C,10.2 C,4.3 C,0.00 mm
5/16/2020,32.4 C,22.6 C,11.1 C,23.6 C,15.7 C,9.4 C,0.00 mm
5/17/2020,32.2 C,19.2 C,10.8 C,23.4 C,13.7 C,9.8 C,0.00 mm
5/18/2020,28.7 C,18.9 C,11.1 C,20.2 C,12.7 C,9.3 C,0.00 mm
5/19/2020,17.4 C,13.0 C,12.1 C,12.6 C,7.3 C,5.2 C,0.00 mm
5/20/2020,25.5 C,19.7 C,14.0 C,17.3 C,14.1 C,10.6 C,0.00 mm
5/21/2020,14.9 C,13.4 C,12.0 C,10.6 C,9.1 C,7.6 C,0.51 mm
5/22/2020,14.7 C,11.2 C,5.7 C,8.4 C,4.1 C,0.1 C,2.03 mm
5/23/2020,20.7 C,8.9 C,1.3 C,5.7 C,0.5 C,-5.7 C,2.03 mm
5/24/2020,25.0 C,11.6 C,2.3 C,16.7 C,5.1 C,-4.7 C,0.00 mm
5/25/2020,23.2 C,14.8 C,7.4 C,15.0 C,3.6 C,1.0 C,0.00 mm
5/26/2020,14.3 C,8.6 C,0.0 C,8.9 C,3.6 C,0.9 C,0.00 mm
5/27/2020,25.9 C,15.5 C,7.1 C,17.6 C,9.2 C,5.6 C,0.00 mm
5/28/2020,27.1 C,16.5 C,9.4 C,18.7 C,11.0 C,7.3 C,0.00 mm
5/29/2020,27.1 C,16.0 C,7.3 C,18.7 C,11.2 C,5.4 C,0.00 mm
5/30/2020,12.3 C,10.8 C,9.0 C,9.7 C,6.4 C,3.4 C,0.00 mm
5/31/2020,17.8 C,10.5 C,4.3 C,5.1 C,2.9 C,-0.5 C,0.00 mm
6/1/2020,19.9 C,8.7 C,0.8 C,4.1 C,0.0 C,-6.1 C,0.00 mm
6/2/2020,19.0 C,9.3 C,1.3 C,5.8 C,1.3 C,-5.7 C,0.00 mm
6/3/2020,16.5 C,10.6 C,3.4 C,9.2 C,6.1 C,2.6 C,0.00 mm
6/4/2020,20.3 C,12.0 C,5.9 C,10.4 C,6.9 C,4.2 C,0.00 mm
6/5/2020,18.0 C,11.3 C,7.9 C,9.2 C,6.6 C,4.5 C,0.00 mm
6/6/2020,24.0 C,11.0 C,3.1 C,15.8 C,6.2 C,1.3 C,0.00 mm
6/7/2020,22.0 C,11.5 C,3.9 C,13.0 C,7.6 C,3.7 C,0.00 mm
6/8/2020,23.4 C,13.4 C,6.2 C,15.2 C,10.4 C,6.1 C,0.00 mm
6/9/2020,25.0 C,14.5 C,6.6 C,16.7 C,10.7 C,6.4 C,0.00 mm
6/10/2020,25.3 C,15.2 C,9.7 C,16.9 C,11.6 C,8.2 C,0.00 mm
6/11/2020,22.9 C,14.3 C,6.9 C,14.8 C,11.0 C,6.6 C,0.00 mm
6/12/2020,23.0 C,15.1 C,8.3 C,14.8 C,7.3 C,-1.6 C,0.00 mm
6/13/2020,17.1 C,10.3 C,0.0 C,2.8 C,-1.8 C,-5.9 C,0.00 mm
6/14/2020,15.7 C,12.7 C,8.9 C,3.4 C,1.2 C,0.1 C,0.00 mm
6/15/2020,18.5 C,11.5 C,0.0 C,8.2 C,4.9 C,1.7 C,0.00 mm
6/16/2020,25.9 C,16.2 C,6.3 C,19.7 C,13.3 C,5.6 C,0.00 mm
6/17/2020,29.1 C,21.1 C,13.7 C,20.6 C,16.5 C,8.3 C,0.00 mm
6/18/2020,25.5 C,15.3 C,9.6 C,17.2 C,7.1 C,3.4 C,0.00 mm
6/19/2020,25.5 C,13.9 C,6.7 C,17.2 C,9.6 C,5.0 C,0.00 mm
6/20/2020,15.6 C,10.1 C,6.0 C,14.1 C,9.5 C,5.1 C,0.00 mm
6/21/2020,19.9 C,12.9 C,7.0 C,12.0 C,6.7 C,0.6 C,0.00 mm
6/22/2020,19.9 C,10.9 C,2.8 C,12.6 C,5.9 C,-4.2 C,0.00 mm
6/23/2020,15.0 C,13.0 C,11.4 C,13.2 C,12.1 C,10.6 C,0.00 mm
6/24/2020,14.1 C,10.2 C,5.6 C,11.4 C,8.4 C,3.7 C,0.51 mm
6/25/2020,19.0 C,9.0 C,3.6 C,5.4 C,2.4 C,0.4 C,0.51 mm
6/26/2020,15.4 C,6.7 C,-0.6 C,7.2 C,-0.5 C,-7.4 C,0.00 mm
6/27/2020,18.0 C,7.4 C,-1.4 C,6.0 C,0.3 C,-8.2 C,0.00 mm
6/28/2020,17.7 C,8.8 C,1.7 C,7.7 C,2.0 C,-5.2 C,0.00 mm
6/29/2020,19.4 C,10.3 C,2.6 C,13.0 C,7.3 C,-4.4 C,0.00 mm
6/30/2020,16.3 C,10.9 C,7.8 C,9.6 C,6.4 C,3.7 C,1.78 mm
7/1/2020,12.2 C,9.0 C,5.6 C,8.3 C,5.8 C,4.2 C,0.00 mm
7/2/2020,18.2 C,9.3 C,4.2 C,7.8 C,5.1 C,2.9 C,0.00 mm
7/3/2020,19.5 C,9.7 C,2.1 C,7.9 C,3.7 C,-4.8 C,0.51 mm
7/4/2020,18.4 C,10.4 C,3.9 C,8.8 C,5.9 C,2.2 C,0.51 mm
7/5/2020,17.6 C,8.9 C,4.4 C,5.7 C,2.7 C,0.2 C,0.51 mm
7/6/2020,13.7 C,7.8 C,-0.9 C,5.8 C,0.4 C,-7.7 C,0.51 mm
7/7/2020,10.0 C,7.3 C,3.8 C,6.1 C,3.6 C,1.3 C,0.51 mm
7/8/2020,15.9 C,5.4 C,-2.1 C,7.3 C,-0.7 C,-8.8 C,0.51 mm
7/9/2020,17.0 C,7.3 C,-2.0 C,7.3 C,1.2 C,-8.7 C,0.51 mm
7/10/2020,19.5 C,11.3 C,0.0 C,9.5 C,6.6 C,3.7 C,0.51 mm
7/11/2020,20.0 C,9.8 C,1.9 C,4.5 C,-0.7 C,-6.7 C,0.51 mm
7/12/2020,19.5 C,9.8 C,3.5 C,1.3 C,-1.8 C,-5.8 C,0.51 mm
7/13/2020,16.5 C,7.1 C,1.0 C,2.8 C,-1.1 C,-5.9 C,0.51 mm
7/14/2020,16.6 C,7.9 C,0.1 C,5.1 C,-0.8 C,-6.7 C,0.51 mm
7/15/2020,16.3 C,8.8 C,2.5 C,3.4 C,1.1 C,-4.5 C,0.51 mm
7/16/2020,23.3 C,16.7 C,9.8 C,15.1 C,3.2 C,0.8 C,0.51 mm
7/17/2020,17.0 C,9.9 C,4.0 C,12.6 C,8.1 C,2.5 C,0.51 mm
7/18/2020,17.9 C,13.5 C,10.8 C,17.7 C,13.4 C,10.6 C,0.51 mm
7/19/2020,15.2 C,13.7 C,12.2 C,15.1 C,13.5 C,12.1 C,0.51 mm
7/20/2020,14.5 C,11.8 C,10.1 C,14.3 C,11.6 C,9.9 C,0.51 mm
7/21/2020,14.8 C,12.5 C,11.0 C,14.4 C,12.4 C,10.8 C,0.51 mm
7/22/2020,15.5 C,12.4 C,10.3 C,11.8 C,10.4 C,7.6 C,0.51 mm
7/23/2020,11.1 C,7.9 C,5.0 C,7.8 C,5.1 C,2.8 C,0.51 mm
7/24/2020,19.4 C,6.4 C,-2.6 C,5.3 C,-0.8 C,-9.3 C,0.00 mm
7/25/2020,19.0 C,9.1 C,-0.3 C,3.0 C,-2.0 C,-7.1 C,0.00 mm
7/26/2020,19.3 C,11.4 C,3.6 C,3.8 C,1.5 C,0.1 C,0.25 mm
7/27/2020,19.3 C,10.9 C,4.2 C,3.2 C,-0.5 C,-4.3 C,0.25 mm
7/28/2020,18.5 C,8.3 C,0.5 C,-0.6 C,-3.7 C,-6.4 C,0.00 mm
7/29/2020,16.7 C,7.3 C,-1.5 C,-1.1 C,-4.3 C,-8.3 C,0.00 mm
7/30/2020,16.3 C,7.9 C,-1.6 C,2.6 C,-1.5 C,-8.4 C,0.00 mm
7/31/2020,22.9 C,10.8 C,0.8 C,4.7 C,0.9 C,-6.1 C,0.00 mm
8/1/2020,25.9 C,15.2 C,0.0 C,17.6 C,9.5 C,-1.8 C,0.00 mm
8/2/2020,26.5 C,18.4 C,11.8 C,18.1 C,14.2 C,11.2 C,0.00 mm
8/3/2020,30.6 C,21.0 C,13.3 C,21.9 C,15.5 C,11.2 C,0.00 mm
8/4/2020,30.4 C,22.7 C,15.2 C,21.8 C,15.0 C,10.3 C,0.00 mm
8/5/2020,34.8 C,24.2 C,15.7 C,25.9 C,16.5 C,11.7 C,0.00 mm
8/6/2020,17.8 C,15.2 C,10.8 C,12.7 C,3.5 C,-1.4 C,0.00 mm
8/7/2020,17.4 C,11.5 C,7.8 C,9.6 C,5.5 C,0.9 C,0.00 mm
8/8/2020,22.8 C,15.4 C,10.7 C,14.6 C,11.6 C,9.5 C,0.00 mm
8/9/2020,25.9 C,16.3 C,0.0 C,17.6 C,12.7 C,8.6 C,0.00 mm
8/10/2020,20.3 C,14.5 C,0.0 C,12.4 C,9.6 C,-7.8 C,0.00 mm
8/11/2020,18.7 C,9.7 C,1.8 C,-3.1 C,-6.7 C,-10.4 C,0.00 mm
8/12/2020,17.8 C,8.7 C,3.6 C,-2.9 C,-5.1 C,-6.9 C,0.00 mm
8/17/2020,26.3 C,18.8 C,0.0 C,--,--,--,0.00 mm
8/18/2020,27.5 C,14.5 C,3.8 C,4.8 C,0.8 C,-1.3 C,0.00 mm
8/19/2020,12.8 C,8.6 C,2.2 C,-1.9 C,-4.4 C,-8.9 C,0.00 mm
