;TMIN(C);TMED(C);TMAX(C);HR_MIN(%);HR_MAX(%);RAD(MJ/M2);LLUVIA(mm);T-TD(C);GRANIZO;COND_HELADAS;FECHA
0;16.4;19.4;23.1;56.7;77.1;7.6;0.2;7.1;0.0;0.0;20220509
1;16.2;19.2;23.0;56.6;83.7;9.7;0.0;6.2;0.0;0.0;20220510
2;15.2;18.3;22.4;49.1;81.7;9.5;0.0;7.7;0.0;0.0;20220511
3;13.6;17.6;22.6;49.0;86.2;10.0;0.0;6.5;0.0;0.0;20220512
4;14.8;16.6;19.0;69.8;89.8;2.8;0.5;4.8;0.0;0.0;20220513
5;14.4;16.8;19.8;61.8;92.0;6.2;0.5;5.5;0.0;0.0;20220514
6;14.0;16.6;20.1;54.6;91.8;7.3;0.4;7.0;0.0;0.0;20220515
7;13.0;16.0;20.0;50.1;91.1;8.1;0.6;7.6;0.0;0.0;20220516
8;12.2;15.5;19.8;47.4;91.4;8.5;0.2;7.7;0.0;0.0;20220517
9;11.6;15.0;19.4;46.7;87.1;8.3;0.2;8.3;0.0;0.0;20220518
10;11.2;15.1;20.1;45.7;86.1;9.1;0.0;8.2;0.0;0.0;20220519
11;11.3;15.1;20.0;46.9;90.3;9.0;0.3;7.6;0.0;0.0;20220520
12;11.4;15.3;20.3;46.8;93.7;9.0;0.0;7.4;0.0;0.0;20220521
13;12.0;15.6;20.4;49.6;86.9;7.6;0.0;7.0;0.0;0.0;20220522
14;12.3;16.0;20.8;51.3;91.7;8.3;0.2;6.9;0.0;0.0;20220523
19;9.9;12.5;16.4;61.6;73.8;2.1;0.3;6.4;0.0;0.0;20220524
20;10.8;13.4;17.2;67.6;74.2;2.7;0.4;4.8;0.0;0.0;20220525
21;10.1;12.2;15.5;63.6;82.8;3.5;0.3;4.9;0.0;0.0;20220526
22;9.0;12.7;17.2;58.1;89.8;5.2;0.1;5.2;0.0;0.0;20220527
23;9.1;12.6;17.6;56.5;89.4;5.4;0.2;5.2;0.0;0.0;20220528
24;9.3;12.3;16.5;66.2;92.3;5.4;0.2;3.9;0.0;0.0;20220529
25;11.3;14.3;18.2;71.4;96.8;2.5;0.5;2.9;0.0;0.0;20220530
26;12.1;14.5;18.4;71.7;83.1;2.9;1.4;4.0;0.0;0.0;20220531
27;11.1;14.5;18.8;63.8;91.7;3.7;0.9;4.5;0.0;0.0;20220601
28;10.7;14.5;20.2;55.8;89.6;4.5;0.2;5.0;0.0;0.0;20220602
29;11.2;14.9;20.9;55.3;87.7;5.4;0.2;5.1;0.0;0.0;20220603
30;12.2;15.6;19.8;69.3;93.4;4.2;1.7;3.6;0.0;0.0;20220604
31;12.8;15.8;20.0;68.9;85.5;3.2;1.4;4.3;0.0;0.0;20220605
32;11.8;14.6;19.4;63.3;86.1;3.2;0.1;4.7;0.0;0.0;20220606
33;13.3;16.2;19.7;70.2;91.5;3.8;0.5;3.8;0.0;0.0;20220607
34;13.9;16.0;19.6;73.0;96.0;2.5;0.8;2.5;0.0;0.0;20220608
35;11.9;15.4;20.4;66.1;84.0;3.7;0.9;3.6;0.0;0.0;20220609
36;10.6;13.0;17.5;62.7;78.8;3.3;2.1;5.1;0.0;0.0;20220610
37;9.7;12.0;16.1;63.5;86.4;3.6;2.9;4.6;0.0;0.0;20220611
38;9.1;12.0;16.0;61.4;81.8;3.9;0.4;5.4;0.0;0.0;20220612
39;10.5;12.2;15.2;65.4;81.5;2.4;1.9;4.8;0.0;0.0;20220613
40;10.0;12.4;15.4;73.3;90.5;3.5;2.4;3.6;0.0;0.0;20220614
41;11.5;14.0;17.2;69.7;92.1;3.1;0.6;3.8;0.0;0.0;20220615
42;11.4;14.6;19.1;63.5;91.1;4.5;0.1;4.3;0.0;0.0;20220616
43;12.2;15.0;18.5;68.4;90.2;4.7;0.5;3.9;0.0;0.0;20220617
44;10.7;13.5;18.2;65.7;76.6;2.9;0.4;5.1;0.0;0.0;20220618
45;9.5;12.4;17.1;55.0;84.2;4.4;0.0;5.6;0.0;0.0;20220619
46;10.0;12.8;16.9;59.6;86.0;3.2;0.1;5.0;0.0;0.0;20220620
47;9.1;12.9;17.5;58.3;92.1;4.2;0.0;5.1;0.0;0.0;20220621
48;10.1;13.4;17.3;66.8;94.2;2.9;0.8;3.9;0.0;0.0;20220622
49;10.2;13.3;18.2;67.0;85.7;3.0;0.1;4.2;0.0;0.0;20220623
50;9.6;12.3;15.4;68.9;84.3;1.9;0.4;4.5;0.0;0.0;20220624
51;9.2;12.3;16.8;60.0;80.5;3.9;0.2;5.8;0.0;0.0;20220625
52;8.4;11.6;16.6;58.5;70.7;3.7;0.0;6.3;0.0;0.0;20220626
53;8.3;10.9;16.2;55.6;78.7;4.3;0.2;5.5;0.0;0.0;20220627
54;7.5;10.3;14.3;60.5;81.3;2.9;0.2;5.5;0.0;0.0;20220628
55;6.3;9.3;13.4;57.9;75.4;4.8;0.4;6.6;0.0;1.0;20220629
56;5.6;9.2;13.8;57.6;80.6;4.3;0.1;6.2;0.0;1.0;20220630
57;6.3;9.8;15.1;55.7;85.2;3.7;1.1;5.6;0.0;1.0;20220701
58;6.8;10.4;16.1;54.9;83.0;5.3;0.0;6.0;0.0;1.0;20220702
59;6.1;10.2;15.8;50.4;85.5;5.1;0.0;6.2;0.0;1.0;20220703
60;7.7;11.0;16.0;56.8;82.6;3.8;0.0;5.5;0.0;0.0;20220704
61;8.4;12.0;17.4;56.9;90.8;4.3;0.0;4.9;0.0;0.0;20220705
62;10.7;14.0;18.2;62.9;92.2;3.9;0.3;4.3;0.0;0.0;20220706
63;10.3;12.9;17.3;61.6;83.9;2.6;0.2;4.8;0.0;0.0;20220707
64;11.5;13.7;17.7;63.0;87.3;4.7;0.3;4.4;0.0;0.0;20220708
65;9.0;12.3;17.8;57.8;87.1;3.4;0.3;5.2;0.0;0.0;20220709
66;9.9;12.2;15.8;64.3;79.6;3.0;0.6;5.2;0.0;0.0;20220710
67;11.2;13.7;17.9;56.6;79.8;4.0;0.7;5.9;0.0;0.0;20220711
68;11.8;14.1;18.1;59.9;76.4;4.0;0.3;5.7;0.0;0.0;20220712
69;10.5;13.3;17.3;63.7;80.6;3.6;0.5;5.4;0.0;0.0;20220713
70;9.9;13.0;17.2;57.7;74.1;4.2;0.1;6.6;0.0;0.0;20220714
71;7.5;10.8;16.1;54.4;76.6;3.1;1.4;6.6;0.0;0.0;20220715
72;7.0;9.6;14.3;54.1;79.2;4.6;1.7;6.0;0.0;0.0;20220716
73;5.3;9.6;15.1;53.6;87.9;5.8;0.0;5.9;0.0;1.0;20220717
74;7.9;11.6;16.0;60.7;88.5;5.8;0.5;5.1;0.0;0.0;20220718
75;10.3;13.3;17.1;64.5;87.6;3.5;0.1;4.6;0.0;0.0;20220719
76;11.4;14.3;18.3;59.7;85.5;4.6;0.3;5.4;0.0;0.0;20220720
77;9.3;13.2;19.1;61.4;91.2;5.4;2.5;4.6;0.0;0.0;20220721
78;9.8;12.9;17.5;62.4;90.3;4.0;0.3;4.5;0.0;0.0;20220722
79;11.2;14.3;18.2;63.4;87.0;4.2;0.3;5.0;0.0;0.0;20220723
80;12.0;14.2;17.2;74.1;94.2;3.7;1.8;3.0;0.0;0.0;20220724
81;11.0;14.5;18.8;66.3;94.9;4.4;0.3;3.8;0.0;0.0;20220725
82;11.9;15.2;19.7;63.1;91.1;5.3;0.1;4.3;0.0;0.0;20220726
83;10.9;15.1;20.7;61.3;80.7;5.0;0.3;4.7;0.0;0.0;20220727
84;11.0;14.1;18.2;57.9;80.6;3.6;0.2;5.8;0.0;0.0;20220728
85;11.9;15.5;20.3;57.3;79.7;5.3;0.1;6.0;0.0;0.0;20220729
86;12.2;15.3;19.4;60.5;86.4;5.1;0.5;5.3;0.0;0.0;20220730
87;12.5;16.2;20.0;69.9;90.1;3.6;1.1;3.7;0.0;0.0;20220731
88;13.5;15.9;19.9;65.9;82.2;4.0;0.2;4.4;0.0;0.0;20220801
89;12.8;15.7;19.9;63.7;87.3;5.0;2.9;4.6;0.0;0.0;20220802
90;11.3;14.3;19.3;63.3;77.1;4.2;0.7;5.2;0.0;0.0;20220803
91;10.5;13.5;17.4;62.0;85.1;4.1;0.3;5.2;0.0;0.0;20220804
92;11.5;14.3;18.9;62.5;74.5;3.8;1.4;5.2;0.0;0.0;20220805
93;9.2;12.6;17.1;55.8;75.4;5.6;0.1;6.7;0.0;0.0;20220806
94;7.8;12.0;17.0;52.9;81.2;6.0;0.1;6.8;0.0;0.0;20220807
95;8.9;12.5;17.0;61.8;84.6;4.0;0.6;5.2;0.0;0.0;20220808
96;9.1;13.0;18.1;58.8;93.7;4.9;0.2;4.7;0.0;0.0;20220809
97;9.2;14.3;20.6;47.6;86.8;7.1;0.0;6.9;0.0;0.0;20220810
98;10.4;14.7;21.1;49.4;87.8;7.1;0.0;6.1;0.0;0.0;20220811
99;10.1;14.0;19.1;62.2;75.2;3.2;0.1;6.1;0.0;0.0;20220812
100;10.6;13.2;17.3;52.2;72.5;6.5;0.2;7.0;0.0;0.0;20220813
101;9.2;12.6;17.8;55.1;85.8;6.3;0.5;5.5;0.0;0.0;20220814
102;8.8;13.6;18.8;56.8;87.0;6.6;2.0;5.4;0.0;0.0;20220815
103;7.6;11.4;16.6;55.4;82.9;6.9;2.1;5.9;0.0;0.0;20220816
104;6.2;10.0;14.7;59.0;85.0;7.2;7.3;5.9;0.0;1.0;20220817
105;6.7;10.8;15.4;57.4;85.2;6.5;0.0;6.0;0.0;1.0;20220818
106;7.9;12.6;17.8;56.7;94.0;6.0;0.0;5.2;0.0;0.0;20220819
107;10.6;14.4;20.0;51.8;82.7;5.6;0.1;6.1;0.0;0.0;20220820
108;10.7;14.5;19.6;52.6;80.5;4.3;0.1;6.6;0.0;0.0;20220821
109;10.1;14.9;21.0;48.4;90.1;6.9;0.2;6.4;0.0;0.0;20220822
110;8.7;13.4;20.0;58.9;79.0;4.9;1.2;5.9;0.0;0.0;20220823
111;7.7;11.8;17.8;51.6;76.7;6.7;0.1;7.0;0.0;0.0;20220824
112;8.2;12.5;18.4;44.0;74.9;7.0;0.0;8.1;0.0;0.0;20220825
113;9.0;13.4;18.2;52.0;77.6;7.2;0.0;7.3;0.0;0.0;20220826
114;9.5;13.4;19.4;56.6;76.2;6.0;1.1;6.5;0.0;0.0;20220827
115;8.6;13.3;18.5;49.0;80.8;6.8;0.2;7.2;0.0;0.0;20220828
116;9.7;14.2;20.3;46.1;78.1;8.1;0.1;7.6;0.0;0.0;20220829
117;10.0;14.7;20.8;45.8;81.2;8.7;0.0;7.4;0.0;0.0;20220830
118;11.6;15.8;21.5;49.8;80.8;8.2;0.0;6.7;0.0;0.0;20220831
119;11.3;15.6;21.6;51.6;92.2;8.3;0.0;5.6;0.0;0.0;20220901
120;12.5;16.9;22.4;53.6;88.6;7.1;1.6;5.8;0.0;0.0;20220902
121;14.7;18.2;23.5;51.6;82.6;7.4;0.3;6.3;0.0;0.0;20220903
122;14.6;19.6;25.9;45.3;75.3;8.6;0.0;8.2;0.0;0.0;20220904
123;14.4;18.4;23.8;56.7;70.4;2.6;1.3;7.1;0.0;0.0;20220905
124;14.6;17.8;22.5;52.9;76.9;3.4;2.0;6.8;0.0;0.0;20220906
125;11.5;16.5;22.7;54.2;77.2;5.2;1.5;7.1;0.0;0.0;20220907
126;9.1;13.3;19.9;50.1;82.8;8.8;1.2;6.4;0.0;0.0;20220908
127;9.6;13.4;18.4;54.9;89.2;8.5;1.0;5.7;0.0;0.0;20220909
128;11.3;14.8;19.5;58.0;81.9;8.3;1.7;6.0;0.0;0.0;20220910
129;13.1;16.1;20.5;60.4;80.2;6.6;3.3;5.7;0.0;0.0;20220911
130;13.1;14.9;18.1;69.0;85.3;5.9;4.0;4.1;0.0;0.0;20220912
131;12.3;15.1;19.2;66.3;88.8;8.3;10.3;4.2;0.0;0.0;20220913
132;12.4;16.1;21.3;56.2;86.5;9.9;0.1;5.5;0.0;0.0;20220914
133;12.2;16.2;21.8;53.1;79.8;10.2;1.1;6.2;0.0;0.0;20220915
134;12.4;15.1;18.4;66.3;75.1;4.7;3.0;5.6;0.0;0.0;20220916
135;11.9;13.8;16.4;71.3;79.7;2.6;4.6;4.6;0.0;0.0;20220917
136;9.6;13.3;18.3;52.8;75.3;5.7;1.5;7.2;0.0;0.0;20220918
137;11.1;14.8;19.6;51.0;73.5;7.3;0.6;7.5;0.0;0.0;20220919
138;12.3;15.7;20.0;56.0;79.8;4.0;5.5;6.4;0.0;0.0;20220920
139;13.1;16.8;22.0;55.7;84.8;6.5;1.6;5.7;0.0;0.0;20220921
140;14.0;17.5;22.4;58.8;85.2;7.8;0.2;5.4;0.0;0.0;20220922
141;12.2;17.6;24.6;52.4;74.2;10.5;1.1;6.5;0.0;0.0;20220923
142;10.9;16.6;23.0;43.7;76.7;11.8;0.0;8.2;0.0;0.0;20220924
143;10.2;15.1;22.5;47.7;71.8;8.3;0.3;7.5;0.0;0.0;20220925
144;10.7;14.4;19.8;49.6;73.6;9.2;0.1;7.4;0.0;0.0;20220926
145;10.8;15.5;21.5;47.4;79.7;9.9;0.1;7.3;0.0;0.0;20220927
146;11.6;17.4;23.8;46.3;87.4;12.2;0.0;7.4;0.0;0.0;20220928
147;15.1;19.9;25.5;47.1;79.4;11.2;1.3;7.7;0.0;0.0;20220929
148;14.8;20.3;26.4;48.0;74.8;12.2;0.6;7.7;0.0;0.0;20220930
149;11.2;15.7;23.0;54.3;64.5;8.1;3.3;7.0;0.0;0.0;20221001
150;10.1;15.4;21.5;42.9;64.9;12.4;0.0;9.3;0.0;0.0;20221002
151;11.6;17.2;23.2;46.4;85.4;12.1;0.1;7.4;0.0;0.0;20221003
152;14.3;19.6;25.4;50.2;81.5;12.6;0.6;7.0;0.0;0.0;20221004
153;15.7;19.8;25.6;53.8;74.0;11.1;5.5;6.8;0.0;0.0;20221005
154;12.0;16.0;23.5;38.8;71.8;11.4;3.5;8.1;0.0;0.0;20221006
155;12.3;15.7;20.2;49.8;66.9;7.1;0.8;8.4;0.0;0.0;20221007
156;13.2;17.2;21.7;50.1;74.3;8.8;0.5;7.6;0.0;0.0;20221008
157;13.8;17.3;21.9;50.3;71.0;9.4;1.3;7.4;0.0;0.0;20221009
158;13.4;17.3;22.7;55.3;84.6;9.9;0.2;6.1;0.0;0.0;20221010
159;13.5;18.0;24.1;54.7;84.7;11.1;5.0;5.7;0.0;0.0;20221011
160;12.2;15.8;21.1;61.1;85.4;6.2;1.7;5.2;0.0;0.0;20221012
161;12.2;16.0;20.9;54.2;84.6;6.8;0.2;6.2;0.0;0.0;20221013
162;12.0;16.2;21.6;58.0;87.0;7.7;2.6;5.5;0.0;0.0;20221014
163;12.3;16.3;21.6;54.6;84.8;8.6;0.4;6.0;0.0;0.0;20221015
164;13.3;17.2;22.3;54.8;85.4;9.9;0.3;5.9;0.0;0.0;20221016
165;15.1;18.7;24.0;58.7;85.5;10.8;3.8;5.3;0.0;0.0;20221017
166;13.7;19.0;24.4;62.5;96.0;12.3;2.4;4.5;0.0;0.0;20221018
167;15.7;18.8;22.5;72.7;87.3;6.0;14.3;3.7;0.0;0.0;20221019
168;14.4;18.6;23.9;50.9;79.1;9.8;4.6;7.0;0.0;0.0;20221020
169;14.2;17.7;22.4;60.6;77.9;5.8;17.8;5.8;0.0;0.0;20221021
170;12.9;17.0;22.5;53.0;79.1;12.0;1.3;6.5;0.0;0.0;20221022
171;12.7;17.3;23.1;50.6;89.0;12.2;0.9;6.1;0.0;0.0;20221023
172;12.8;17.2;22.7;54.0;90.2;13.6;2.1;5.5;0.0;0.0;20221024
173;13.2;17.4;22.8;53.2;79.1;12.9;0.6;6.5;0.0;0.0;20221025
174;12.4;18.1;24.0;49.4;88.5;15.2;0.0;6.7;0.0;0.0;20221026
175;13.1;18.6;24.4;47.9;80.9;14.4;0.2;7.4;0.0;0.0;20221027
176;14.7;20.5;27.3;42.2;80.9;15.5;0.1;8.0;0.0;0.0;20221028
177;16.3;22.0;28.4;44.0;78.3;15.2;0.0;8.0;0.0;0.0;20221029
178;15.2;20.5;27.1;51.5;86.2;13.8;3.1;6.1;0.0;0.0;20221030
179;15.4;20.3;26.3;52.1;84.9;11.7;0.4;6.2;0.0;0.0;20221031
180;15.5;20.2;26.3;47.8;76.9;12.2;0.0;7.5;0.0;0.0;20221101
181;16.7;21.9;28.0;43.9;75.4;13.6;0.0;8.3;0.0;0.0;20221102
182;16.7;21.6;27.2;46.9;77.0;10.9;0.5;7.9;0.0;0.0;20221103
183;14.6;19.5;25.0;52.2;85.2;11.9;1.0;6.8;0.0;0.0;20221104
184;14.8;21.4;27.4;41.1;80.4;14.7;0.0;8.8;0.0;0.0;20221105
185;16.1;21.9;30.4;39.5;66.4;15.5;0.7;8.9;0.0;0.0;20221106
186;15.8;20.1;25.4;49.6;73.5;12.0;0.4;7.6;0.0;0.0;20221107
187;15.0;20.6;26.8;48.5;82.4;15.7;6.4;7.3;0.0;0.0;20221108
188;15.3;20.6;25.9;46.1;74.6;14.7;0.3;8.6;0.0;0.0;20221109
189;16.6;21.2;26.4;48.3;71.2;8.2;0.9;8.3;0.0;0.0;20221110
190;14.9;19.1;25.1;56.8;78.1;6.2;6.5;6.3;0.0;0.0;20221111
191;15.1;18.9;23.3;58.0;72.7;6.7;6.3;7.1;0.0;0.0;20221112
192;14.9;20.0;25.2;53.0;78.3;9.4;0.9;7.1;0.0;0.0;20221113
193;16.5;21.3;27.4;49.8;81.5;10.4;1.7;6.7;0.0;0.0;20221114
194;15.6;19.9;26.0;53.1;85.7;8.1;9.3;5.9;0.0;0.0;20221115
195;12.5;20.4;28.0;42.2;87.6;16.6;3.6;8.1;0.0;0.0;20221116
196;13.7;19.8;26.3;42.4;77.6;17.5;0.8;8.5;0.0;0.0;20221117
197;15.9;21.8;28.1;42.0;74.6;17.9;0.0;8.9;0.0;0.0;20221118
198;16.9;22.1;28.6;45.8;81.4;16.7;19.1;7.4;0.0;0.0;20221119
