,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum
1/1/2020,30.3 C,25.5 C,21.1 C,22.4 C,19.0 C,14.7 C,99 %,70 %,46 %,15.1 km/h,2.9 km/h,0.0 km/h,997.56 hPa,994.68 hPa,0.00 mm
1/2/2020,31.6 C,24.7 C,18.9 C,22.9 C,19.7 C,14.7 C,98 %,75 %,45 %,17.5 km/h,4.7 km/h,0.0 km/h,"1,000.00 hPa",997.26 hPa,0.00 mm
1/3/2020,33.2 C,28.3 C,22.7 C,24.4 C,19.9 C,14.8 C,70 %,60 %,40 %,17.5 km/h,6.9 km/h,0.0 km/h,999.26 hPa,996.75 hPa,0.00 mm
1/4/2020,34.4 C,26.6 C,19.0 C,25.5 C,19.3 C,14.7 C,84 %,65 %,38 %,19.2 km/h,4.5 km/h,0.0 km/h,998.24 hPa,989.88 hPa,0.00 mm
1/5/2020,34.7 C,27.1 C,18.9 C,25.8 C,20.4 C,14.7 C,92 %,67 %,35 %,32.5 km/h,8.2 km/h,0.0 km/h,990.38 hPa,978.50 hPa,0.00 mm
1/6/2020,30.0 C,23.2 C,17.6 C,21.4 C,16.6 C,9.2 C,88 %,67 %,31 %,22.5 km/h,4.8 km/h,0.0 km/h,994.01 hPa,988.69 hPa,0.00 mm
1/7/2020,32.0 C,23.6 C,13.4 C,23.3 C,16.5 C,10.6 C,89 %,65 %,24 %,25.7 km/h,6.2 km/h,0.0 km/h,994.89 hPa,988.76 hPa,0.00 mm
1/8/2020,35.4 C,27.4 C,16.9 C,26.4 C,20.5 C,14.4 C,93 %,67 %,44 %,32.5 km/h,9.8 km/h,0.0 km/h,990.99 hPa,982.49 hPa,0.00 mm
1/9/2020,31.1 C,26.0 C,21.5 C,22.4 C,18.5 C,14.7 C,86 %,65 %,60 %,29.1 km/h,7.3 km/h,0.0 km/h,992.18 hPa,984.49 hPa,0.00 mm
1/10/2020,24.2 C,23.1 C,22.0 C,21.4 C,17.8 C,14.7 C,98 %,76 %,60 %,21.7 km/h,2.9 km/h,0.0 km/h,992.08 hPa,990.08 hPa,3.05 mm
1/11/2020,33.8 C,30.1 C,25.8 C,24.9 C,21.5 C,17.4 C,99 %,63 %,51 %,15.9 km/h,5.8 km/h,0.0 km/h,994.99 hPa,989.67 hPa,3.05 mm
1/12/2020,31.7 C,27.2 C,23.8 C,23.0 C,18.8 C,15.6 C,92 %,62 %,60 %,23.3 km/h,5.7 km/h,0.0 km/h,997.77 hPa,993.06 hPa,3.05 mm
1/13/2020,36.0 C,28.9 C,23.6 C,27.0 C,20.4 C,15.4 C,90 %,61 %,58 %,24.1 km/h,8.0 km/h,0.0 km/h,995.70 hPa,988.49 hPa,3.05 mm
1/14/2020,36.3 C,30.2 C,24.4 C,27.3 C,21.6 C,16.1 C,99 %,62 %,55 %,20.0 km/h,7.3 km/h,0.0 km/h,991.06 hPa,984.56 hPa,3.05 mm
1/15/2020,31.1 C,25.2 C,19.6 C,22.4 C,17.6 C,13.4 C,99 %,64 %,39 %,29.1 km/h,6.5 km/h,0.0 km/h,998.38 hPa,983.68 hPa,5.84 mm
1/16/2020,30.2 C,22.7 C,15.0 C,21.6 C,15.7 C,10.8 C,85 %,65 %,24 %,18.3 km/h,4.3 km/h,0.0 km/h,"1,004.00 hPa",998.38 hPa,5.84 mm
1/17/2020,30.6 C,24.0 C,17.3 C,21.9 C,16.8 C,12.5 C,83 %,64 %,33 %,26.7 km/h,7.6 km/h,0.0 km/h,"1,003.86 hPa",998.07 hPa,5.84 mm
1/18/2020,33.3 C,27.2 C,18.9 C,24.4 C,19.4 C,14.0 C,83 %,62 %,26 %,23.3 km/h,8.8 km/h,0.0 km/h,999.19 hPa,993.19 hPa,0.00 mm
1/19/2020,36.2 C,29.7 C,23.3 C,27.2 C,21.1 C,15.1 C,84 %,61 %,54 %,23.3 km/h,6.6 km/h,0.0 km/h,995.06 hPa,988.05 hPa,0.00 mm
1/20/2020,32.6 C,27.8 C,23.1 C,23.8 C,19.3 C,14.9 C,99 %,62 %,60 %,29.1 km/h,8.0 km/h,0.0 km/h,992.01 hPa,987.57 hPa,45.72 mm
1/21/2020,32.5 C,26.2 C,22.7 C,23.7 C,17.9 C,14.7 C,99 %,63 %,60 %,19.2 km/h,3.8 km/h,0.0 km/h,994.68 hPa,988.69 hPa,63.50 mm
1/22/2020,34.7 C,26.6 C,20.4 C,25.8 C,20.8 C,14.7 C,99 %,73 %,60 %,15.9 km/h,3.7 km/h,0.0 km/h,997.36 hPa,994.51 hPa,17.78 mm
1/23/2020,35.3 C,27.6 C,21.2 C,26.3 C,20.7 C,14.7 C,99 %,68 %,60 %,14.2 km/h,4.1 km/h,0.0 km/h,997.77 hPa,993.06 hPa,0.00 mm
1/24/2020,34.4 C,27.1 C,19.7 C,25.5 C,20.3 C,14.7 C,99 %,68 %,60 %,20.0 km/h,5.2 km/h,0.0 km/h,995.70 hPa,990.55 hPa,0.00 mm
1/25/2020,38.0 C,29.2 C,20.4 C,28.9 C,22.4 C,14.7 C,99 %,69 %,60 %,12.6 km/h,2.2 km/h,0.0 km/h,993.50 hPa,989.88 hPa,0.00 mm
1/26/2020,35.0 C,27.4 C,21.5 C,26.1 C,20.0 C,14.7 C,88 %,65 %,60 %,9.3 km/h,1.1 km/h,0.0 km/h,995.56 hPa,991.20 hPa,0.00 mm
1/27/2020,33.4 C,25.2 C,20.5 C,24.6 C,17.4 C,13.8 C,78 %,62 %,59 %,15.9 km/h,4.1 km/h,0.0 km/h,"1,001.36 hPa",995.26 hPa,0.00 mm
1/28/2020,33.6 C,25.5 C,16.4 C,24.8 C,18.9 C,14.7 C,92 %,68 %,60 %,22.5 km/h,6.9 km/h,0.0 km/h,997.29 hPa,987.13 hPa,0.00 mm
1/29/2020,25.5 C,22.4 C,19.2 C,21.6 C,18.2 C,14.7 C,99 %,79 %,60 %,15.1 km/h,4.0 km/h,0.0 km/h,997.56 hPa,987.47 hPa,2.79 mm
1/30/2020,29.6 C,22.5 C,17.7 C,21.0 C,17.6 C,10.9 C,99 %,76 %,48 %,19.2 km/h,3.1 km/h,0.0 km/h,"1,000.75 hPa",995.87 hPa,2.79 mm
1/31/2020,31.0 C,23.1 C,13.4 C,22.3 C,16.2 C,10.6 C,88 %,66 %,60 %,20.0 km/h,5.3 km/h,0.0 km/h,998.24 hPa,994.01 hPa,0.00 mm
2/1/2020,33.9 C,26.2 C,17.5 C,25.1 C,19.4 C,14.7 C,93 %,68 %,60 %,20.9 km/h,7.2 km/h,0.0 km/h,995.70 hPa,990.25 hPa,0.00 mm
2/2/2020,36.3 C,27.6 C,18.6 C,27.3 C,21.1 C,14.7 C,99 %,69 %,60 %,20.0 km/h,5.6 km/h,0.0 km/h,996.38 hPa,992.18 hPa,0.00 mm
2/3/2020,36.0 C,28.4 C,19.0 C,27.0 C,21.3 C,14.7 C,97 %,67 %,60 %,29.1 km/h,7.8 km/h,0.0 km/h,996.17 hPa,989.88 hPa,0.00 mm
2/4/2020,38.0 C,29.7 C,21.9 C,28.9 C,21.9 C,14.7 C,88 %,64 %,60 %,27.5 km/h,9.9 km/h,2.7 km/h,990.48 hPa,985.00 hPa,0.00 mm
2/5/2020,28.4 C,23.2 C,18.7 C,22.6 C,18.8 C,14.7 C,99 %,79 %,60 %,49.7 km/h,5.1 km/h,0.0 km/h,992.55 hPa,986.46 hPa,93.98 mm
2/6/2020,29.6 C,23.8 C,20.2 C,22.7 C,19.5 C,14.7 C,99 %,79 %,60 %,13.4 km/h,2.0 km/h,0.0 km/h,996.61 hPa,991.53 hPa,95.00 mm
2/7/2020,28.3 C,24.1 C,22.2 C,22.7 C,17.9 C,14.7 C,99 %,70 %,60 %,15.1 km/h,3.1 km/h,0.0 km/h,998.65 hPa,994.92 hPa,97.79 mm
2/8/2020,22.7 C,22.2 C,21.4 C,22.6 C,22.0 C,21.2 C,99 %,99 %,99 %,11.7 km/h,2.9 km/h,0.0 km/h,998.65 hPa,996.28 hPa,0.00 mm
2/9/2020,25.0 C,21.9 C,18.5 C,20.9 C,18.1 C,14.6 C,99 %,81 %,60 %,15.1 km/h,4.0 km/h,0.0 km/h,"1,003.73 hPa",997.63 hPa,3.05 mm
2/10/2020,29.6 C,22.1 C,15.9 C,21.0 C,17.3 C,14.7 C,99 %,77 %,60 %,15.9 km/h,4.7 km/h,0.0 km/h,"1,005.08 hPa","1,000.68 hPa",3.05 mm
2/11/2020,32.9 C,23.5 C,16.6 C,24.1 C,18.0 C,14.6 C,90 %,72 %,60 %,15.9 km/h,3.9 km/h,0.0 km/h,"1,003.05 hPa",997.97 hPa,0.00 mm
2/12/2020,32.5 C,25.0 C,18.3 C,23.7 C,18.7 C,14.8 C,95 %,69 %,60 %,20.0 km/h,5.8 km/h,0.0 km/h,998.98 hPa,992.21 hPa,0.00 mm
2/13/2020,31.5 C,25.8 C,19.1 C,22.8 C,18.9 C,14.7 C,92 %,67 %,60 %,16.7 km/h,3.7 km/h,0.0 km/h,993.57 hPa,989.16 hPa,0.00 mm
2/14/2020,33.8 C,26.4 C,22.4 C,24.9 C,18.7 C,14.7 C,96 %,63 %,60 %,15.9 km/h,3.1 km/h,0.0 km/h,994.92 hPa,990.52 hPa,0.00 mm
2/15/2020,37.5 C,28.2 C,20.6 C,28.4 C,21.8 C,14.7 C,99 %,70 %,60 %,13.4 km/h,3.3 km/h,0.0 km/h,992.89 hPa,987.81 hPa,0.00 mm
2/16/2020,36.1 C,29.1 C,24.1 C,27.1 C,20.6 C,15.8 C,60 %,60 %,60 %,25.7 km/h,8.2 km/h,0.0 km/h,989.84 hPa,982.73 hPa,0.00 mm
2/17/2020,30.5 C,23.3 C,20.8 C,22.7 C,18.7 C,14.7 C,99 %,78 %,60 %,27.5 km/h,4.4 km/h,0.0 km/h,992.21 hPa,983.75 hPa,54.86 mm
2/18/2020,32.5 C,22.8 C,15.8 C,23.7 C,17.8 C,12.9 C,99 %,75 %,32 %,21.7 km/h,4.0 km/h,0.0 km/h,999.66 hPa,991.87 hPa,54.86 mm
2/19/2020,31.6 C,22.6 C,15.5 C,22.9 C,17.3 C,13.3 C,99 %,74 %,60 %,20.9 km/h,4.4 km/h,0.0 km/h,996.28 hPa,991.53 hPa,0.00 mm
2/20/2020,29.2 C,21.7 C,17.5 C,20.7 C,16.3 C,10.3 C,99 %,73 %,33 %,17.5 km/h,4.8 km/h,0.0 km/h,"1,006.43 hPa",995.60 hPa,0.00 mm
2/21/2020,28.7 C,20.8 C,16.0 C,20.2 C,13.1 C,9.1 C,73 %,61 %,33 %,13.4 km/h,3.9 km/h,0.0 km/h,"1,009.14 hPa","1,006.10 hPa",0.00 mm
2/22/2020,29.3 C,20.7 C,9.9 C,20.7 C,14.4 C,8.5 C,91 %,68 %,36 %,11.7 km/h,2.8 km/h,0.0 km/h,"1,009.14 hPa","1,003.05 hPa",0.00 mm
2/23/2020,27.9 C,24.7 C,19.3 C,19.4 C,16.9 C,14.7 C,75 %,62 %,52 %,22.5 km/h,5.3 km/h,1.8 km/h,"1,003.05 hPa",993.57 hPa,0.00 mm
2/24/2020,31.4 C,23.0 C,14.6 C,22.7 C,17.5 C,13.5 C,99 %,73 %,50 %,32.5 km/h,5.8 km/h,0.0 km/h,993.91 hPa,986.46 hPa,0.00 mm
2/25/2020,31.5 C,24.1 C,18.3 C,22.8 C,18.5 C,14.8 C,96 %,72 %,60 %,47.3 km/h,1.7 km/h,0.0 km/h,997.63 hPa,990.86 hPa,14.22 mm
2/26/2020,33.6 C,22.8 C,14.1 C,24.8 C,17.4 C,12.2 C,91 %,73 %,59 %,10.1 km/h,1.9 km/h,0.0 km/h,"1,000.34 hPa",996.61 hPa,14.22 mm
2/27/2020,32.9 C,23.1 C,13.9 C,24.1 C,17.2 C,12.4 C,92 %,71 %,60 %,15.9 km/h,2.8 km/h,0.0 km/h,998.98 hPa,994.24 hPa,0.00 mm
2/28/2020,35.4 C,25.4 C,15.8 C,26.4 C,19.0 C,14.3 C,98 %,69 %,60 %,18.3 km/h,3.2 km/h,0.0 km/h,999.32 hPa,995.60 hPa,0.00 mm
2/29/2020,35.5 C,25.9 C,16.9 C,26.6 C,19.7 C,14.7 C,98 %,70 %,60 %,19.2 km/h,4.2 km/h,0.0 km/h,"1,002.71 hPa",999.32 hPa,0.00 mm
3/1/2020,34.1 C,25.8 C,16.8 C,25.2 C,19.6 C,14.7 C,99 %,71 %,60 %,25.7 km/h,5.4 km/h,0.0 km/h,"1,002.37 hPa",998.31 hPa,0.00 mm
3/2/2020,24.5 C,20.7 C,17.3 C,18.1 C,16.1 C,14.8 C,94 %,76 %,60 %,18.3 km/h,4.7 km/h,0.0 km/h,"1,000.68 hPa",997.97 hPa,0.00 mm
3/3/2020,34.6 C,26.3 C,17.1 C,25.7 C,18.9 C,14.5 C,86 %,64 %,60 %,24.9 km/h,5.7 km/h,0.0 km/h,998.65 hPa,994.58 hPa,0.00 mm
3/4/2020,36.6 C,27.1 C,18.8 C,27.6 C,20.0 C,14.7 C,88 %,66 %,60 %,14.2 km/h,3.9 km/h,0.0 km/h,998.98 hPa,995.60 hPa,0.00 mm
3/5/2020,35.3 C,27.2 C,19.1 C,26.3 C,19.8 C,14.7 C,85 %,64 %,44 %,20.9 km/h,5.4 km/h,0.0 km/h,"1,000.00 hPa",994.58 hPa,0.00 mm
3/6/2020,32.8 C,25.6 C,18.7 C,24.0 C,19.0 C,14.6 C,92 %,68 %,54 %,27.5 km/h,6.7 km/h,0.0 km/h,998.65 hPa,992.55 hPa,0.00 mm
3/7/2020,34.7 C,26.7 C,17.9 C,25.8 C,20.0 C,14.7 C,99 %,68 %,60 %,18.3 km/h,5.3 km/h,0.0 km/h,993.91 hPa,988.83 hPa,0.00 mm
3/8/2020,36.9 C,27.5 C,18.6 C,27.8 C,20.9 C,14.7 C,95 %,69 %,60 %,20.9 km/h,5.7 km/h,0.0 km/h,994.24 hPa,990.18 hPa,0.00 mm
3/9/2020,38.6 C,28.7 C,20.6 C,29.4 C,21.4 C,14.6 C,86 %,66 %,60 %,20.9 km/h,4.0 km/h,0.0 km/h,998.31 hPa,993.23 hPa,0.00 mm
3/10/2020,33.2 C,25.9 C,19.7 C,24.4 C,19.6 C,14.7 C,96 %,70 %,60 %,18.3 km/h,6.4 km/h,0.0 km/h,999.66 hPa,991.87 hPa,2.54 mm
3/11/2020,38.4 C,27.7 C,20.3 C,29.2 C,20.5 C,14.8 C,98 %,66 %,60 %,31.5 km/h,8.4 km/h,0.0 km/h,995.60 hPa,987.13 hPa,5.84 mm
3/12/2020,28.7 C,22.3 C,18.3 C,22.7 C,18.6 C,14.6 C,99 %,82 %,60 %,15.9 km/h,3.3 km/h,0.0 km/h,996.95 hPa,991.20 hPa,23.11 mm
3/14/2020,27.2 C,22.9 C,19.5 C,18.8 C,16.7 C,14.1 C,81 %,69 %,60 %,37.3 km/h,16.1 km/h,0.0 km/h,"1,000.68 hPa",993.57 hPa,0.00 mm
3/15/2020,19.5 C,16.6 C,13.9 C,17.3 C,15.8 C,13.7 C,99 %,95 %,81 %,26.7 km/h,9.1 km/h,0.0 km/h,"1,003.39 hPa",999.32 hPa,27.18 mm
3/16/2020,30.2 C,22.7 C,17.4 C,21.6 C,17.9 C,14.7 C,99 %,77 %,60 %,17.5 km/h,4.3 km/h,0.0 km/h,"1,001.36 hPa",993.57 hPa,27.18 mm
3/17/2020,23.3 C,20.9 C,17.6 C,22.7 C,20.3 C,14.7 C,99 %,96 %,60 %,48.9 km/h,4.3 km/h,0.0 km/h,997.29 hPa,990.86 hPa,24.64 mm
3/18/2020,17.8 C,16.8 C,16.1 C,17.6 C,16.6 C,15.9 C,99 %,97 %,53 %,19.2 km/h,7.0 km/h,0.0 km/h,998.65 hPa,996.28 hPa,24.64 mm
3/19/2020,32.8 C,26.8 C,17.3 C,24.0 C,18.9 C,9.4 C,99 %,64 %,39 %,16.7 km/h,3.8 km/h,0.0 km/h,998.65 hPa,995.94 hPa,24.64 mm
3/20/2020,31.1 C,21.5 C,12.4 C,22.4 C,15.8 C,11.7 C,99 %,72 %,31 %,20.0 km/h,3.1 km/h,0.0 km/h,998.65 hPa,992.55 hPa,0.00 mm
3/21/2020,30.3 C,22.4 C,14.4 C,21.7 C,16.9 C,13.6 C,99 %,73 %,44 %,24.1 km/h,6.9 km/h,0.0 km/h,995.26 hPa,991.87 hPa,0.00 mm
3/22/2020,31.6 C,23.4 C,15.1 C,22.9 C,17.9 C,14.6 C,99 %,73 %,40 %,23.3 km/h,6.7 km/h,0.0 km/h,998.65 hPa,994.92 hPa,0.00 mm
3/23/2020,33.2 C,26.7 C,19.0 C,24.4 C,19.4 C,14.7 C,95 %,65 %,42 %,22.5 km/h,8.7 km/h,0.0 km/h,997.97 hPa,992.89 hPa,0.00 mm
3/24/2020,34.5 C,26.6 C,18.9 C,25.6 C,19.9 C,14.7 C,89 %,68 %,47 %,27.5 km/h,6.8 km/h,0.0 km/h,994.92 hPa,990.52 hPa,0.00 mm
3/25/2020,26.5 C,21.9 C,18.3 C,21.9 C,19.0 C,14.7 C,99 %,86 %,60 %,23.3 km/h,7.7 km/h,0.0 km/h,"1,000.34 hPa",989.50 hPa,5.59 mm
3/26/2020,26.3 C,20.7 C,18.3 C,22.1 C,18.7 C,14.7 C,99 %,91 %,60 %,18.3 km/h,4.0 km/h,0.0 km/h,"1,000.68 hPa",995.60 hPa,6.86 mm
3/27/2020,23.7 C,20.9 C,17.3 C,22.1 C,19.3 C,14.7 C,99 %,92 %,60 %,24.9 km/h,4.4 km/h,0.0 km/h,996.61 hPa,993.23 hPa,7.11 mm
3/28/2020,28.4 C,21.2 C,16.9 C,22.3 C,18.2 C,14.7 C,99 %,86 %,60 %,19.2 km/h,3.5 km/h,0.0 km/h,995.60 hPa,992.55 hPa,7.11 mm
3/29/2020,32.9 C,23.7 C,18.5 C,24.1 C,19.9 C,14.7 C,99 %,82 %,50 %,14.2 km/h,2.5 km/h,0.0 km/h,999.66 hPa,995.26 hPa,0.00 mm
3/30/2020,35.1 C,24.2 C,17.0 C,26.2 C,19.2 C,14.6 C,99 %,77 %,47 %,15.9 km/h,2.3 km/h,0.0 km/h,"1,000.00 hPa",995.94 hPa,0.25 mm
3/31/2020,31.3 C,24.8 C,20.9 C,22.6 C,19.6 C,14.7 C,99 %,76 %,60 %,14.2 km/h,1.9 km/h,0.0 km/h,"1,000.00 hPa",995.26 hPa,0.25 mm
4/1/2020,28.6 C,23.4 C,19.1 C,22.7 C,19.9 C,14.7 C,99 %,84 %,60 %,42.3 km/h,5.3 km/h,0.0 km/h,"1,002.71 hPa",994.58 hPa,1.02 mm
4/2/2020,26.7 C,19.8 C,14.3 C,18.6 C,14.8 C,9.6 C,98 %,75 %,37 %,27.5 km/h,8.7 km/h,0.0 km/h,"1,008.47 hPa","1,002.37 hPa",1.02 mm
4/3/2020,27.7 C,17.6 C,0.0 C,19.2 C,11.8 C,7.2 C,91 %,70 %,0 %,19.2 km/h,4.7 km/h,0.0 km/h,"1,005.42 hPa",995.60 hPa,1.02 mm
4/4/2020,28.0 C,19.0 C,10.8 C,19.5 C,14.3 C,10.4 C,99 %,76 %,46 %,25.7 km/h,6.8 km/h,0.0 km/h,995.60 hPa,991.20 hPa,1.02 mm
4/5/2020,30.1 C,20.9 C,14.3 C,21.5 C,16.7 C,13.9 C,99 %,79 %,46 %,20.0 km/h,4.2 km/h,0.0 km/h,996.61 hPa,990.18 hPa,1.02 mm
4/6/2020,24.4 C,18.7 C,14.3 C,17.3 C,11.2 C,3.4 C,98 %,66 %,28 %,35.7 km/h,9.0 km/h,0.0 km/h,"1,008.13 hPa",996.61 hPa,1.02 mm
4/7/2020,25.2 C,20.2 C,0.0 C,16.9 C,8.7 C,4.0 C,72 %,49 %,0 %,12.6 km/h,3.5 km/h,0.0 km/h,"1,010.50 hPa","1,005.08 hPa",1.02 mm
4/8/2020,--,--,--,--,--,--,86 %,58 %,32 %,--,--,--,--,--,--
4/9/2020,26.8 C,19.9 C,9.8 C,18.4 C,12.9 C,7.8 C,88 %,65 %,37 %,16.7 km/h,3.9 km/h,0.0 km/h,"1,006.43 hPa","1,002.71 hPa",0.00 mm
4/10/2020,21.8 C,12.6 C,9.4 C,14.6 C,9.6 C,7.5 C,90 %,83 %,62 %,17.5 km/h,1.5 km/h,0.0 km/h,"1,004.74 hPa","1,003.05 hPa",0.00 mm
4/11/2020,26.2 C,21.8 C,0.0 C,17.8 C,13.8 C,10.7 C,99 %,61 %,0 %,24.1 km/h,8.0 km/h,0.0 km/h,"1,004.06 hPa",996.61 hPa,0.00 mm
4/12/2020,27.4 C,19.8 C,11.1 C,18.9 C,13.9 C,10.2 C,99 %,70 %,43 %,26.7 km/h,5.6 km/h,0.0 km/h,999.32 hPa,993.57 hPa,0.00 mm
4/13/2020,23.9 C,17.5 C,12.9 C,16.6 C,13.7 C,10.2 C,99 %,80 %,52 %,29.9 km/h,8.9 km/h,0.0 km/h,"1,001.36 hPa",995.60 hPa,14.48 mm
4/14/2020,27.4 C,16.6 C,0.0 C,18.9 C,11.7 C,7.6 C,97 %,74 %,0 %,18.3 km/h,2.5 km/h,0.0 km/h,"1,002.03 hPa",997.97 hPa,14.48 mm
4/15/2020,28.1 C,17.5 C,8.6 C,19.6 C,11.4 C,6.4 C,92 %,69 %,32 %,13.4 km/h,2.8 km/h,0.0 km/h,"1,003.05 hPa","1,000.34 hPa",0.00 mm
4/16/2020,26.7 C,17.8 C,10.2 C,18.3 C,12.3 C,8.5 C,91 %,72 %,43 %,21.7 km/h,5.2 km/h,0.0 km/h,"1,007.11 hPa","1,003.05 hPa",0.00 mm
4/17/2020,27.7 C,18.8 C,11.2 C,19.2 C,12.6 C,7.1 C,99 %,69 %,46 %,24.9 km/h,5.9 km/h,0.0 km/h,"1,008.47 hPa","1,004.06 hPa",0.00 mm
4/18/2020,27.5 C,18.7 C,0.0 C,19.1 C,13.2 C,9.2 C,99 %,72 %,0 %,26.7 km/h,6.9 km/h,0.0 km/h,"1,005.08 hPa","1,000.00 hPa",0.00 mm
4/19/2020,30.2 C,20.4 C,11.6 C,21.6 C,15.4 C,11.4 C,99 %,75 %,41 %,25.7 km/h,6.3 km/h,0.0 km/h,"1,000.68 hPa",996.95 hPa,0.00 mm
4/20/2020,25.5 C,16.8 C,13.9 C,18.7 C,15.0 C,13.6 C,99 %,90 %,60 %,11.7 km/h,2.4 km/h,0.0 km/h,"1,000.00 hPa",997.63 hPa,0.00 mm
4/21/2020,30.5 C,20.2 C,14.1 C,21.8 C,15.8 C,12.7 C,95 %,77 %,45 %,21.7 km/h,4.9 km/h,0.0 km/h,"1,001.69 hPa",997.29 hPa,0.00 mm
