,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
8/12/2020,17.8 C,8.7 C,3.6 C,-2.9 C,-5.1 C,-6.9 C,56 %,31 %,0 %,20.9 km/h,2.9 km/h,0.0 km/h,"1,002.88 hPa",996.17 hPa,0.00 mm
8/17/2020,26.3 C,18.8 C,0.0 C,--,--,--,0 %,0 %,0 %,19.2 km/h,6.8 km/h,0.0 km/h,994.24 hPa,992.69 hPa,0.00 mm
8/18/2020,27.5 C,14.5 C,3.8 C,4.8 C,0.8 C,-1.3 C,84 %,23 %,0 %,29.9 km/h,7.3 km/h,0.0 km/h,"1,000.20 hPa",989.57 hPa,0.00 mm
8/19/2020,12.8 C,8.6 C,2.2 C,-1.9 C,-4.4 C,-8.9 C,50 %,28 %,0 %,31.5 km/h,10.9 km/h,0.0 km/h,"1,017.24 hPa","1,000.20 hPa",0.00 mm
8/20/2020,17.7 C,6.5 C,-2.5 C,-2.4 C,-8.1 C,-11.8 C,66 %,31 %,0 %,15.9 km/h,4.5 km/h,0.0 km/h,"1,020.01 hPa","1,014.36 hPa",0.00 mm
8/23/2020,22.6 C,19.2 C,15.0 C,--,--,--,0 %,0 %,0 %,33.3 km/h,11.9 km/h,0.0 km/h,994.68 hPa,991.37 hPa,0.00 mm
8/24/2020,28.5 C,18.0 C,0.0 C,13.3 C,6.0 C,2.1 C,85 %,20 %,0 %,28.3 km/h,8.8 km/h,0.0 km/h,"1,013.00 hPa",985.68 hPa,0.00 mm
8/25/2020,32.3 C,24.3 C,0.0 C,17.6 C,13.9 C,11.2 C,83 %,45 %,0 %,20.4 km/h,6.8 km/h,0.0 km/h,988.69 hPa,984.05 hPa,0.00 mm
8/26/2020,21.1 C,16.0 C,11.3 C,15.1 C,11.6 C,8.9 C,92 %,76 %,51 %,44.4 km/h,20.6 km/h,1.6 km/h,999.87 hPa,987.50 hPa,0.76 mm
8/27/2020,22.9 C,14.2 C,7.6 C,9.4 C,6.0 C,3.2 C,92 %,62 %,31 %,22.5 km/h,9.6 km/h,0.0 km/h,"1,001.69 hPa",997.05 hPa,0.00 mm
8/28/2020,27.6 C,15.6 C,5.6 C,16.4 C,9.5 C,1.5 C,89 %,68 %,49 %,17.5 km/h,4.9 km/h,0.0 km/h,999.56 hPa,990.55 hPa,0.00 mm
8/29/2020,17.2 C,15.3 C,11.7 C,15.5 C,8.4 C,3.7 C,91 %,65 %,47 %,40.7 km/h,14.6 km/h,0.0 km/h,"1,007.69 hPa",991.50 hPa,0.00 mm
8/30/2020,20.4 C,13.3 C,7.8 C,5.9 C,1.1 C,-3.6 C,64 %,46 %,22 %,20.4 km/h,8.8 km/h,0.0 km/h,"1,010.06 hPa","1,005.25 hPa",0.00 mm
8/31/2020,12.3 C,11.1 C,10.4 C,2.0 C,-0.2 C,-1.6 C,54 %,46 %,40 %,14.8 km/h,5.3 km/h,0.0 km/h,"1,013.99 hPa","1,008.57 hPa",0.00 mm
9/1/2020,10.4 C,9.1 C,8.3 C,7.2 C,4.7 C,1.2 C,93 %,57 %,0 %,15.1 km/h,8.9 km/h,1.6 km/h,"1,014.70 hPa","1,009.25 hPa",0.00 mm
9/2/2020,9.5 C,9.4 C,9.1 C,8.4 C,8.3 C,6.4 C,93 %,93 %,0 %,26.7 km/h,12.3 km/h,9.3 km/h,"1,009.25 hPa","1,001.25 hPa",0.00 mm
9/3/2020,18.5 C,10.9 C,7.1 C,11.3 C,8.5 C,6.7 C,99 %,86 %,61 %,21.7 km/h,9.7 km/h,9.3 km/h,"1,003.18 hPa",997.36 hPa,0.00 mm
9/4/2020,21.4 C,13.0 C,4.3 C,18.2 C,10.6 C,4.1 C,99 %,87 %,59 %,20.9 km/h,9.7 km/h,9.3 km/h,"1,002.07 hPa",997.26 hPa,0.00 mm
9/5/2020,23.6 C,12.6 C,9.1 C,20.3 C,10.5 C,7.3 C,95 %,88 %,52 %,16.7 km/h,9.5 km/h,9.3 km/h,"1,003.01 hPa",998.58 hPa,0.00 mm
9/6/2020,20.9 C,15.9 C,11.3 C,17.7 C,10.3 C,7.4 C,82 %,70 %,48 %,25.7 km/h,10.1 km/h,9.3 km/h,"1,008.20 hPa","1,004.27 hPa",0.00 mm
9/7/2020,22.8 C,13.9 C,8.1 C,19.6 C,10.5 C,5.4 C,84 %,80 %,59 %,16.7 km/h,9.6 km/h,9.3 km/h,"1,008.06 hPa","1,001.86 hPa",0.00 mm
9/11/2020,16.8 C,16.7 C,9.4 C,6.4 C,0.1 C,0.0 C,82 %,33 %,32 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",999.39 hPa,0.00 mm
9/12/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",1.27 mm
9/13/2020,23.1 C,20.9 C,9.4 C,19.9 C,18.2 C,6.4 C,82 %,79 %,0 %,20.0 km/h,14.4 km/h,9.3 km/h,"1,009.25 hPa",998.75 hPa,1.30 mm
9/14/2020,24.8 C,16.9 C,9.2 C,21.5 C,7.1 C,-4.8 C,82 %,56 %,19 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,013.58 hPa","1,006.74 hPa",0.00 mm
9/15/2020,22.9 C,14.1 C,5.9 C,19.7 C,5.6 C,-2.8 C,82 %,59 %,25 %,25.7 km/h,10.4 km/h,9.3 km/h,"1,007.01 hPa",996.00 hPa,0.00 mm
9/19/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
9/20/2020,26.1 C,18.9 C,8.4 C,22.8 C,11.1 C,-2.3 C,82 %,64 %,25 %,16.7 km/h,9.5 km/h,9.3 km/h,"1,008.26 hPa","1,003.39 hPa",0.00 mm
9/21/2020,24.9 C,15.1 C,4.3 C,21.6 C,6.5 C,-4.6 C,82 %,61 %,20 %,24.9 km/h,10.1 km/h,9.3 km/h,"1,008.36 hPa","1,002.88 hPa",0.00 mm
9/22/2020,26.5 C,17.0 C,0.0 C,23.2 C,9.1 C,-2.6 C,82 %,62 %,0 %,31.5 km/h,11.5 km/h,9.3 km/h,"1,003.49 hPa",997.70 hPa,0.00 mm
9/23/2020,32.1 C,18.0 C,0.0 C,28.7 C,10.7 C,1.1 C,82 %,64 %,0 %,19.2 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",998.17 hPa,0.00 mm
10/1/2020,18.5 C,13.9 C,9.4 C,6.4 C,1.4 C,-3.7 C,82 %,52 %,22 %,9.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",994.89 hPa,0.00 mm
10/3/2020,15.8 C,14.7 C,0.0 C,6.4 C,-0.1 C,-1.3 C,82 %,36 %,0 %,20.0 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa","1,006.20 hPa",0.00 mm
10/11/2020,18.2 C,13.7 C,0.0 C,6.4 C,3.9 C,1.9 C,82 %,53 %,0 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa","1,000.75 hPa",1.50 mm
10/13/2020,31.6 C,18.0 C,9.4 C,28.2 C,11.5 C,4.9 C,82 %,67 %,0 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",992.52 hPa,1.50 mm
10/14/2020,26.6 C,20.6 C,9.4 C,16.1 C,9.6 C,6.4 C,82 %,51 %,36 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",994.75 hPa,0.00 mm
10/15/2020,29.3 C,20.1 C,9.4 C,15.5 C,12.6 C,6.4 C,82 %,64 %,34 %,20.1 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,000.00 hPa",0.00 mm
10/18/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
10/19/2020,21.4 C,15.4 C,9.4 C,12.2 C,9.3 C,6.4 C,82 %,69 %,55 %,35.7 km/h,14.1 km/h,9.3 km/h,"1,009.25 hPa",995.19 hPa,1.02 mm
10/20/2020,16.9 C,14.6 C,9.4 C,15.7 C,14.4 C,6.4 C,99 %,99 %,78 %,25.1 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa","1,001.02 hPa",48.62 mm
10/21/2020,15.8 C,13.2 C,9.4 C,14.6 C,12.2 C,6.4 C,99 %,94 %,82 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,000.20 hPa",0.00 mm
10/22/2020,22.1 C,17.9 C,9.4 C,20.3 C,17.2 C,6.4 C,99 %,96 %,82 %,16.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",996.99 hPa,0.00 mm
10/23/2020,26.0 C,20.2 C,9.4 C,22.0 C,19.0 C,6.4 C,99 %,93 %,76 %,14.3 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",993.87 hPa,0.00 mm
10/24/2020,31.4 C,24.2 C,9.4 C,24.6 C,21.4 C,6.4 C,99 %,86 %,60 %,19.2 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",988.25 hPa,0.00 mm
10/28/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",10.21 mm
10/29/2020,18.9 C,14.2 C,9.4 C,6.4 C,2.9 C,-0.1 C,82 %,47 %,28 %,9.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,004.37 hPa",0.00 mm
10/30/2020,27.6 C,16.0 C,9.4 C,8.9 C,6.6 C,4.0 C,82 %,57 %,25 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,010.26 hPa","1,005.18 hPa",0.00 mm
10/31/2020,30.1 C,18.9 C,9.4 C,10.2 C,6.1 C,1.7 C,83 %,49 %,18 %,18.3 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,003.25 hPa",0.00 mm
11/1/2020,30.4 C,18.8 C,9.4 C,11.6 C,7.8 C,4.7 C,82 %,51 %,22 %,20.9 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",999.49 hPa,0.00 mm
11/2/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
11/4/2020,23.8 C,20.8 C,9.4 C,8.9 C,8.6 C,6.4 C,82 %,46 %,38 %,16.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",996.17 hPa,0.00 mm
11/5/2020,31.3 C,23.0 C,9.4 C,10.9 C,8.6 C,5.6 C,82 %,43 %,23 %,22.5 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",995.50 hPa,0.00 mm
11/8/2020,22.2 C,21.6 C,9.4 C,6.4 C,4.8 C,4.7 C,91 %,79 %,32 %,9.7 km/h,7.5 km/h,7.4 km/h,"1,013.51 hPa","1,009.25 hPa",1.30 mm
11/9/2020,31.3 C,25.3 C,9.4 C,16.0 C,15.1 C,6.4 C,90 %,56 %,37 %,19.2 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",994.24 hPa,1.19 mm
11/10/2020,28.8 C,21.1 C,9.4 C,18.8 C,15.6 C,6.4 C,87 %,72 %,48 %,21.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",995.70 hPa,0.30 mm
11/11/2020,35.0 C,24.2 C,9.4 C,17.3 C,15.0 C,6.4 C,91 %,61 %,31 %,18.3 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",994.18 hPa,0.00 mm
11/12/2020,32.5 C,24.2 C,9.4 C,14.6 C,13.2 C,6.4 C,82 %,51 %,26 %,15.1 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",992.75 hPa,0.00 mm
11/13/2020,35.3 C,26.4 C,9.4 C,16.3 C,11.4 C,6.4 C,82 %,42 %,23 %,20.1 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",987.37 hPa,0.00 mm
11/14/2020,25.3 C,20.1 C,9.4 C,18.8 C,14.2 C,6.4 C,99 %,74 %,38 %,32.5 km/h,12.1 km/h,9.3 km/h,"1,009.25 hPa",986.86 hPa,21.84 mm
11/15/2020,21.6 C,20.3 C,9.4 C,12.7 C,12.0 C,6.4 C,85 %,79 %,57 %,9.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",999.05 hPa,21.79 mm
11/16/2020,24.7 C,21.9 C,9.4 C,11.4 C,10.7 C,6.4 C,82 %,49 %,41 %,9.3 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",994.38 hPa,0.00 mm
11/21/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,48 %,33 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
11/22/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,48 %,26 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
11/23/2020,38.1 C,33.5 C,9.4 C,13.2 C,12.0 C,6.4 C,82 %,30 %,21 %,29.1 km/h,11.1 km/h,9.3 km/h,"1,009.25 hPa",986.69 hPa,0.00 mm
11/24/2020,41.2 C,30.0 C,9.4 C,19.5 C,14.9 C,6.4 C,82 %,42 %,23 %,25.9 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",983.88 hPa,0.00 mm
11/25/2020,27.0 C,22.7 C,9.4 C,19.3 C,18.0 C,6.4 C,85 %,76 %,59 %,29.1 km/h,10.3 km/h,9.3 km/h,"1,009.25 hPa",988.01 hPa,0.00 mm
11/26/2020,28.6 C,22.7 C,9.4 C,18.4 C,12.6 C,5.7 C,88 %,56 %,28 %,26.7 km/h,9.7 km/h,9.3 km/h,"1,009.25 hPa",992.25 hPa,0.00 mm
11/27/2020,35.2 C,26.4 C,9.4 C,18.8 C,14.4 C,6.4 C,82 %,50 %,30 %,24.1 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",990.69 hPa,0.00 mm
11/28/2020,36.4 C,26.7 C,9.4 C,23.1 C,19.9 C,6.4 C,89 %,68 %,41 %,37.5 km/h,10.0 km/h,9.3 km/h,"1,009.25 hPa",990.38 hPa,0.00 mm
11/29/2020,34.6 C,22.2 C,9.4 C,22.5 C,19.1 C,6.4 C,99 %,86 %,44 %,27.5 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",991.74 hPa,14.00 mm
11/30/2020,30.1 C,22.3 C,9.4 C,17.9 C,12.7 C,6.4 C,90 %,59 %,32 %,20.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",997.19 hPa,0.00 mm
12/1/2020,34.9 C,25.9 C,9.4 C,19.6 C,14.4 C,6.4 C,82 %,50 %,33 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",989.06 hPa,0.00 mm
12/2/2020,28.4 C,22.0 C,9.4 C,20.9 C,18.2 C,6.4 C,99 %,81 %,54 %,37.5 km/h,10.8 km/h,9.3 km/h,"1,009.25 hPa",987.37 hPa,35.31 mm
12/3/2020,34.6 C,24.2 C,9.4 C,20.1 C,14.9 C,6.4 C,99 %,63 %,20 %,29.1 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",990.38 hPa,0.51 mm
12/4/2020,21.1 C,16.1 C,9.4 C,14.2 C,11.3 C,6.4 C,88 %,74 %,38 %,15.1 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",999.70 hPa,5.11 mm
12/5/2020,30.2 C,19.9 C,9.4 C,10.9 C,8.1 C,5.3 C,83 %,50 %,23 %,14.3 km/h,9.3 km/h,9.3 km/h,"1,009.99 hPa","1,003.69 hPa",0.00 mm
12/6/2020,32.3 C,22.1 C,9.4 C,12.0 C,9.9 C,6.4 C,82 %,49 %,26 %,17.5 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",998.38 hPa,0.00 mm
12/7/2020,32.1 C,23.9 C,9.4 C,14.6 C,11.3 C,6.4 C,82 %,47 %,30 %,20.1 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",994.24 hPa,0.00 mm
12/8/2020,35.4 C,26.0 C,9.4 C,18.4 C,14.7 C,6.4 C,85 %,53 %,29 %,21.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",993.74 hPa,0.00 mm
12/9/2020,36.8 C,27.9 C,9.4 C,18.9 C,16.5 C,6.4 C,87 %,53 %,29 %,22.5 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",992.52 hPa,0.00 mm
12/10/2020,29.0 C,23.0 C,9.4 C,19.1 C,17.3 C,6.4 C,93 %,71 %,52 %,26.7 km/h,9.8 km/h,9.3 km/h,"1,009.25 hPa",991.57 hPa,0.00 mm
12/11/2020,31.0 C,26.3 C,9.4 C,15.1 C,4.5 C,1.2 C,82 %,26 %,17 %,43.3 km/h,11.7 km/h,9.3 km/h,"1,009.25 hPa",990.99 hPa,2.29 mm
12/12/2020,33.3 C,23.8 C,9.4 C,19.7 C,13.9 C,5.1 C,82 %,56 %,34 %,24.1 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",983.37 hPa,1.02 mm
12/13/2020,21.6 C,19.2 C,9.4 C,18.3 C,15.2 C,6.4 C,86 %,77 %,26 %,34.1 km/h,11.4 km/h,9.3 km/h,"1,009.25 hPa",987.23 hPa,0.00 mm
12/14/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,87 %,52 %,21 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
12/15/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,60 %,33 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
12/16/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,56 %,24 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
12/17/2020,35.5 C,19.4 C,9.4 C,11.8 C,8.5 C,6.4 C,82 %,51 %,24 %,9.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",989.06 hPa,0.00 mm
12/18/2020,36.8 C,34.1 C,9.4 C,19.3 C,18.0 C,6.4 C,88 %,42 %,32 %,38.3 km/h,13.1 km/h,9.3 km/h,"1,009.25 hPa",976.36 hPa,14.22 mm
12/19/2020,28.7 C,24.7 C,9.4 C,18.9 C,12.0 C,6.4 C,87 %,47 %,34 %,35.7 km/h,11.1 km/h,9.3 km/h,"1,009.25 hPa",983.51 hPa,3.30 mm
12/20/2020,30.5 C,22.7 C,9.4 C,14.0 C,11.8 C,6.4 C,86 %,54 %,29 %,10.1 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",994.07 hPa,0.00 mm
12/21/2020,32.7 C,24.1 C,9.4 C,15.2 C,11.9 C,6.4 C,82 %,49 %,28 %,14.3 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",997.05 hPa,0.00 mm
12/22/2020,30.8 C,22.7 C,9.4 C,16.4 C,13.3 C,6.4 C,88 %,59 %,31 %,22.5 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",993.06 hPa,0.00 mm
12/23/2020,34.1 C,26.1 C,9.4 C,15.8 C,12.2 C,6.4 C,82 %,45 %,23 %,21.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",990.25 hPa,0.00 mm
12/24/2020,35.9 C,27.7 C,9.4 C,19.2 C,15.3 C,6.4 C,82 %,48 %,30 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",988.49 hPa,0.00 mm
12/25/2020,38.1 C,26.2 C,9.4 C,21.0 C,18.4 C,6.4 C,91 %,65 %,34 %,30.9 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",991.70 hPa,3.30 mm
12/26/2020,38.2 C,29.0 C,9.4 C,21.4 C,18.4 C,6.4 C,87 %,57 %,30 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",990.38 hPa,0.00 mm
12/27/2020,36.3 C,28.6 C,9.4 C,22.0 C,19.2 C,6.4 C,86 %,59 %,37 %,35.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",991.37 hPa,0.00 mm
12/28/2020,32.5 C,24.1 C,9.4 C,23.9 C,20.4 C,6.4 C,99 %,82 %,55 %,37.5 km/h,10.1 km/h,9.3 km/h,"1,009.25 hPa",990.89 hPa,19.30 mm
12/29/2020,37.3 C,26.9 C,9.4 C,23.3 C,20.3 C,6.4 C,99 %,71 %,41 %,13.4 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",986.05 hPa,0.00 mm
12/30/2020,27.1 C,21.2 C,9.4 C,20.4 C,14.7 C,6.4 C,93 %,69 %,35 %,45.7 km/h,10.5 km/h,9.3 km/h,"1,009.25 hPa",985.68 hPa,7.62 mm
12/31/2020,31.9 C,22.1 C,9.4 C,13.6 C,9.9 C,6.4 C,83 %,49 %,24 %,14.3 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",995.70 hPa,0.00 mm
1/1/2021,33.9 C,25.2 C,9.4 C,16.0 C,13.0 C,6.4 C,89 %,51 %,28 %,22.5 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",994.68 hPa,0.00 mm
1/2/2021,36.2 C,28.3 C,9.4 C,17.8 C,13.5 C,6.4 C,82 %,42 %,25 %,23.3 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",990.76 hPa,0.00 mm
1/3/2021,30.0 C,23.9 C,9.4 C,19.6 C,16.1 C,6.4 C,82 %,62 %,43 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",992.08 hPa,0.00 mm
1/4/2021,35.1 C,26.2 C,9.4 C,18.8 C,16.5 C,6.4 C,83 %,58 %,30 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",988.25 hPa,0.00 mm
1/5/2021,28.4 C,22.5 C,9.4 C,19.1 C,16.9 C,6.4 C,96 %,73 %,48 %,33.3 km/h,10.5 km/h,9.3 km/h,"1,009.25 hPa",990.99 hPa,1.02 mm
1/6/2021,29.3 C,22.3 C,9.4 C,16.7 C,13.1 C,6.3 C,94 %,61 %,25 %,21.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",993.87 hPa,0.00 mm
1/7/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,47 %,15 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
1/8/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,88 %,51 %,23 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",3.81 mm
1/9/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,90 %,71 %,40 %,9.7 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",991.26 hPa,4.83 mm
