,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
1/10/2021,--,--,--,--,--,--,99 %,76 %,43 %,--,--,--,--,--,--
1/11/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,99 %,85 %,78 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",29.79 mm
1/12/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
1/13/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
1/14/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.25 mm
1/15/2021,18.4 C,11.2 C,9.4 C,18.2 C,8.9 C,6.4 C,99 %,79 %,57 %,9.7 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",987.23 hPa,35.41 mm
1/16/2021,25.9 C,21.9 C,9.4 C,23.0 C,17.2 C,6.4 C,99 %,77 %,53 %,29.9 km/h,10.0 km/h,9.3 km/h,"1,009.25 hPa",988.69 hPa,2.64 mm
1/17/2021,29.9 C,21.6 C,9.4 C,13.4 C,11.5 C,6.4 C,84 %,56 %,32 %,19.2 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",995.73 hPa,0.00 mm
1/18/2021,34.4 C,23.4 C,9.4 C,16.1 C,12.8 C,6.4 C,88 %,56 %,27 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",996.24 hPa,0.00 mm
1/19/2021,34.8 C,24.6 C,9.4 C,17.8 C,13.8 C,6.4 C,87 %,55 %,29 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",996.51 hPa,0.00 mm
1/20/2021,35.7 C,26.0 C,9.4 C,18.9 C,14.7 C,6.4 C,85 %,54 %,28 %,19.2 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",996.55 hPa,0.00 mm
1/21/2021,36.4 C,26.4 C,9.4 C,19.8 C,16.0 C,6.4 C,83 %,56 %,30 %,13.4 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",997.26 hPa,0.00 mm
1/22/2021,35.3 C,27.8 C,9.4 C,23.3 C,20.0 C,6.4 C,82 %,63 %,47 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",996.68 hPa,0.00 mm
1/23/2021,36.9 C,29.4 C,9.4 C,24.3 C,21.5 C,6.4 C,87 %,64 %,42 %,17.5 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",991.37 hPa,0.00 mm
1/24/2021,38.5 C,29.3 C,9.4 C,26.4 C,22.0 C,6.4 C,89 %,67 %,36 %,15.1 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",988.18 hPa,0.00 mm
1/25/2021,37.6 C,27.6 C,9.4 C,26.4 C,22.5 C,6.4 C,99 %,76 %,45 %,22.5 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",983.88 hPa,22.07 mm
1/26/2021,33.0 C,25.5 C,9.4 C,25.1 C,22.5 C,6.4 C,99 %,85 %,62 %,29.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",985.24 hPa,4.32 mm
1/27/2021,37.1 C,25.3 C,9.4 C,26.1 C,21.9 C,6.4 C,95 %,83 %,49 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",988.86 hPa,0.00 mm
1/28/2021,--,--,--,--,--,--,99 %,75 %,54 %,--,--,--,--,--,--
1/29/2021,23.7 C,22.0 C,9.4 C,20.8 C,20.3 C,6.4 C,99 %,89 %,72 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",986.25 hPa,43.99 mm
1/30/2021,25.5 C,20.8 C,9.4 C,21.4 C,19.6 C,6.4 C,99 %,93 %,76 %,39.1 km/h,10.4 km/h,9.3 km/h,"1,009.25 hPa",983.68 hPa,35.00 mm
1/31/2021,19.4 C,17.6 C,9.4 C,17.8 C,16.4 C,6.4 C,99 %,93 %,82 %,16.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",995.26 hPa,5.13 mm
2/1/2021,25.4 C,19.8 C,9.4 C,20.2 C,17.8 C,6.4 C,99 %,89 %,70 %,19.2 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",994.07 hPa,1.52 mm
2/2/2021,25.5 C,20.1 C,9.4 C,19.4 C,17.9 C,6.4 C,99 %,88 %,66 %,20.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",995.36 hPa,0.25 mm
2/3/2021,29.3 C,22.5 C,9.4 C,20.1 C,17.9 C,6.4 C,99 %,78 %,50 %,19.2 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",996.99 hPa,0.25 mm
2/4/2021,32.5 C,23.0 C,9.4 C,18.6 C,16.0 C,6.4 C,95 %,69 %,39 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa","1,000.00 hPa",0.00 mm
2/5/2021,33.8 C,24.1 C,9.4 C,19.3 C,16.5 C,6.4 C,99 %,67 %,34 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",995.19 hPa,0.00 mm
2/6/2021,33.8 C,24.5 C,9.4 C,21.4 C,16.3 C,6.4 C,91 %,63 %,35 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",994.51 hPa,0.00 mm
2/7/2021,33.9 C,25.4 C,9.4 C,20.4 C,17.7 C,6.4 C,91 %,65 %,41 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",994.18 hPa,0.00 mm
2/8/2021,28.5 C,22.0 C,9.4 C,22.0 C,17.9 C,6.4 C,89 %,78 %,61 %,26.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",995.73 hPa,0.00 mm
2/9/2021,27.4 C,21.3 C,9.4 C,20.7 C,18.1 C,6.4 C,93 %,82 %,59 %,20.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,000.37 hPa",0.00 mm
2/10/2021,31.4 C,23.1 C,9.4 C,20.0 C,16.9 C,6.4 C,91 %,71 %,42 %,17.5 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",996.99 hPa,0.00 mm
2/11/2021,35.0 C,23.9 C,9.4 C,21.0 C,17.0 C,6.4 C,96 %,69 %,36 %,10.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",993.06 hPa,0.00 mm
2/12/2021,35.7 C,24.2 C,9.4 C,24.2 C,19.2 C,6.4 C,92 %,76 %,41 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",991.87 hPa,12.95 mm
2/13/2021,33.5 C,24.7 C,9.4 C,21.6 C,18.9 C,6.4 C,99 %,74 %,42 %,35.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",988.01 hPa,14.48 mm
2/14/2021,36.1 C,25.1 C,9.4 C,22.8 C,19.4 C,6.4 C,99 %,75 %,38 %,11.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",988.86 hPa,0.30 mm
2/15/2021,31.1 C,23.7 C,9.4 C,23.4 C,20.1 C,6.4 C,98 %,82 %,60 %,18.3 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",991.70 hPa,0.00 mm
2/16/2021,30.8 C,21.2 C,9.4 C,19.7 C,18.0 C,6.4 C,99 %,83 %,45 %,13.4 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",996.17 hPa,0.00 mm
2/17/2021,--,--,--,--,--,--,96 %,61 %,25 %,--,--,--,--,--,--
2/18/2021,33.9 C,27.6 C,9.4 C,15.2 C,13.9 C,6.4 C,96 %,48 %,26 %,15.1 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",990.48 hPa,0.00 mm
2/19/2021,31.2 C,23.6 C,9.4 C,21.7 C,17.2 C,6.4 C,99 %,70 %,44 %,23.3 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",991.87 hPa,16.00 mm
2/20/2021,31.2 C,23.3 C,9.4 C,20.3 C,17.2 C,6.4 C,94 %,71 %,50 %,18.3 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",994.75 hPa,0.00 mm
2/21/2021,32.0 C,25.6 C,9.4 C,22.7 C,20.2 C,6.4 C,86 %,73 %,51 %,19.2 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",992.55 hPa,0.00 mm
2/22/2021,37.8 C,27.4 C,9.4 C,25.0 C,22.3 C,6.4 C,99 %,76 %,45 %,18.3 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",990.55 hPa,0.00 mm
2/23/2021,26.2 C,21.4 C,9.4 C,22.4 C,19.4 C,6.4 C,99 %,89 %,75 %,23.3 km/h,9.8 km/h,9.3 km/h,"1,009.14 hPa",993.91 hPa,24.38 mm
2/24/2021,34.9 C,24.4 C,9.4 C,19.6 C,17.2 C,6.4 C,98 %,69 %,33 %,15.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",995.36 hPa,0.00 mm
2/25/2021,33.7 C,25.4 C,9.4 C,21.7 C,18.8 C,6.4 C,99 %,70 %,46 %,18.3 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",993.50 hPa,0.00 mm
2/26/2021,33.5 C,25.7 C,9.4 C,20.9 C,18.2 C,6.4 C,97 %,66 %,40 %,18.3 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",992.89 hPa,0.00 mm
2/27/2021,36.2 C,25.8 C,9.4 C,23.0 C,17.9 C,6.4 C,89 %,65 %,40 %,10.9 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",995.50 hPa,0.00 mm
2/28/2021,--,--,--,--,--,--,94 %,74 %,53 %,--,--,--,--,--,--
3/1/2021,--,--,--,--,--,--,96 %,78 %,55 %,--,--,--,--,--,--
3/2/2021,--,--,--,--,--,--,91 %,70 %,36 %,--,--,--,--,--,--
3/3/2021,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,89 %,78 %,45 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
3/4/2021,23.4 C,20.6 C,9.4 C,21.7 C,18.4 C,6.4 C,98 %,83 %,50 %,10.1 km/h,3.7 km/h,0.0 km/h,"1,009.25 hPa",995.87 hPa,0.00 mm
3/5/2021,32.9 C,24.7 C,19.7 C,23.9 C,20.6 C,19.3 C,99 %,79 %,45 %,16.7 km/h,2.7 km/h,0.0 km/h,997.77 hPa,993.70 hPa,0.00 mm
3/6/2021,34.3 C,25.4 C,18.5 C,22.7 C,19.3 C,16.5 C,89 %,71 %,46 %,17.5 km/h,2.5 km/h,0.0 km/h,996.38 hPa,992.89 hPa,0.00 mm
3/7/2021,32.2 C,24.3 C,16.7 C,20.8 C,17.4 C,13.6 C,84 %,68 %,49 %,17.5 km/h,0.5 km/h,0.0 km/h,996.24 hPa,991.20 hPa,0.00 mm
3/8/2021,34.2 C,24.4 C,18.0 C,21.4 C,17.6 C,15.1 C,89 %,68 %,38 %,26.7 km/h,3.5 km/h,0.0 km/h,"1,001.05 hPa",993.26 hPa,0.00 mm
3/9/2021,35.6 C,25.7 C,16.9 C,20.6 C,17.3 C,15.2 C,90 %,64 %,37 %,15.1 km/h,1.2 km/h,0.0 km/h,999.87 hPa,994.75 hPa,0.00 mm
3/10/2021,34.3 C,25.5 C,9.4 C,19.1 C,16.3 C,6.4 C,95 %,61 %,33 %,25.9 km/h,5.2 km/h,0.0 km/h,996.00 hPa,989.06 hPa,0.00 mm
3/11/2021,35.4 C,24.5 C,18.0 C,23.2 C,17.4 C,15.1 C,93 %,67 %,36 %,17.5 km/h,2.9 km/h,0.0 km/h,997.26 hPa,990.69 hPa,0.00 mm
3/12/2021,24.1 C,20.2 C,9.4 C,21.9 C,18.5 C,6.4 C,99 %,90 %,76 %,11.1 km/h,1.1 km/h,0.0 km/h,"1,009.25 hPa",995.56 hPa,5.11 mm
3/13/2021,33.0 C,23.1 C,17.1 C,23.0 C,19.1 C,16.9 C,99 %,81 %,46 %,13.0 km/h,0.9 km/h,0.0 km/h,"1,000.07 hPa",996.07 hPa,2.06 mm
3/14/2021,28.6 C,23.3 C,20.9 C,24.2 C,20.3 C,17.9 C,99 %,84 %,68 %,19.2 km/h,3.4 km/h,0.0 km/h,"1,000.88 hPa",996.99 hPa,3.56 mm
3/15/2021,23.8 C,20.5 C,17.3 C,21.2 C,19.3 C,17.1 C,99 %,93 %,82 %,20.9 km/h,4.3 km/h,0.0 km/h,998.58 hPa,992.69 hPa,1.52 mm
3/16/2021,29.7 C,23.1 C,17.2 C,21.4 C,17.6 C,15.5 C,99 %,73 %,57 %,29.9 km/h,10.5 km/h,0.0 km/h,995.06 hPa,990.18 hPa,29.31 mm
3/17/2021,21.9 C,18.1 C,0.3 C,17.6 C,15.7 C,14.0 C,99 %,87 %,0 %,27.8 km/h,9.5 km/h,0.0 km/h,"1,005.76 hPa",995.06 hPa,0.00 mm
3/18/2021,23.4 C,16.9 C,12.1 C,14.9 C,13.1 C,11.2 C,96 %,80 %,55 %,13.0 km/h,1.0 km/h,0.0 km/h,"1,005.69 hPa",999.05 hPa,0.00 mm
3/19/2021,24.8 C,18.0 C,11.5 C,16.7 C,13.2 C,9.7 C,91 %,75 %,54 %,11.1 km/h,1.0 km/h,0.0 km/h,"1,001.39 hPa",993.74 hPa,0.00 mm
3/20/2021,23.9 C,19.8 C,15.4 C,18.4 C,16.3 C,14.1 C,95 %,81 %,66 %,35.2 km/h,4.9 km/h,0.0 km/h,"1,003.39 hPa",994.01 hPa,0.00 mm
3/22/2021,31.1 C,24.3 C,16.9 C,17.9 C,15.7 C,10.5 C,99 %,63 %,38 %,11.7 km/h,0.2 km/h,0.0 km/h,"1,003.86 hPa","1,000.51 hPa",0.00 mm
3/23/2021,29.5 C,20.5 C,13.3 C,20.9 C,16.0 C,13.1 C,99 %,80 %,40 %,16.7 km/h,1.6 km/h,0.0 km/h,"1,002.88 hPa",996.07 hPa,0.00 mm
3/24/2021,28.8 C,22.8 C,17.5 C,23.0 C,20.1 C,16.1 C,99 %,85 %,70 %,15.1 km/h,2.7 km/h,0.0 km/h,997.56 hPa,993.36 hPa,0.00 mm
3/25/2021,28.6 C,22.4 C,20.2 C,24.2 C,21.6 C,20.1 C,99 %,96 %,73 %,20.4 km/h,3.7 km/h,0.0 km/h,995.70 hPa,991.26 hPa,51.31 mm
3/26/2021,21.2 C,18.6 C,15.5 C,21.1 C,18.0 C,15.0 C,99 %,97 %,88 %,27.8 km/h,10.4 km/h,0.0 km/h,"1,001.19 hPa",992.99 hPa,0.51 mm
3/27/2021,25.0 C,17.0 C,11.0 C,15.2 C,12.1 C,8.2 C,99 %,76 %,46 %,29.6 km/h,4.8 km/h,0.0 km/h,"1,002.00 hPa",998.88 hPa,0.00 mm
3/28/2021,26.0 C,18.8 C,10.0 C,16.6 C,13.6 C,9.6 C,98 %,74 %,55 %,16.7 km/h,0.7 km/h,0.0 km/h,"1,001.39 hPa",999.70 hPa,0.00 mm
3/29/2021,24.5 C,24.4 C,0.0 C,15.7 C,15.7 C,15.7 C,93 %,58 %,0 %,0.0 km/h,0.0 km/h,0.0 km/h,999.70 hPa,999.70 hPa,0.00 mm
3/30/2021,--,--,--,--,--,--,95 %,77 %,41 %,--,--,--,--,--,--
3/31/2021,--,--,--,--,--,--,99 %,77 %,43 %,--,--,--,--,--,--
4/1/2021,--,--,--,--,--,--,84 %,71 %,46 %,--,--,--,--,--,--
4/2/2021,--,--,--,--,--,--,79 %,61 %,44 %,--,--,--,--,--,--
4/3/2021,--,--,--,--,--,--,87 %,66 %,43 %,--,--,--,--,--,--
4/4/2021,26.2 C,22.8 C,21.4 C,18.1 C,16.9 C,16.3 C,87 %,68 %,47 %,5.6 km/h,0.1 km/h,0.0 km/h,999.76 hPa,994.99 hPa,0.00 mm
4/5/2021,28.7 C,21.3 C,17.3 C,22.8 C,18.3 C,15.7 C,99 %,83 %,63 %,19.2 km/h,1.3 km/h,0.0 km/h,998.38 hPa,995.19 hPa,0.00 mm
4/6/2021,28.3 C,21.0 C,15.0 C,22.2 C,18.7 C,14.8 C,99 %,88 %,64 %,17.5 km/h,1.0 km/h,0.0 km/h,"1,000.37 hPa",996.17 hPa,0.00 mm
4/7/2021,28.6 C,23.0 C,17.2 C,24.1 C,20.7 C,17.1 C,99 %,88 %,70 %,24.1 km/h,2.2 km/h,0.0 km/h,997.49 hPa,993.36 hPa,0.00 mm
4/8/2021,32.9 C,26.1 C,21.2 C,25.4 C,23.0 C,20.6 C,99 %,84 %,64 %,29.6 km/h,4.7 km/h,0.0 km/h,994.75 hPa,988.55 hPa,0.00 mm
4/9/2021,25.4 C,20.8 C,19.3 C,24.9 C,20.6 C,19.1 C,99 %,99 %,91 %,20.9 km/h,3.2 km/h,0.0 km/h,996.38 hPa,992.18 hPa,22.05 mm
4/10/2021,22.7 C,19.2 C,14.6 C,22.6 C,18.8 C,13.0 C,99 %,98 %,88 %,46.3 km/h,7.3 km/h,0.0 km/h,997.70 hPa,989.74 hPa,14.99 mm
4/11/2021,24.9 C,16.8 C,11.2 C,13.8 C,11.9 C,10.6 C,99 %,76 %,43 %,41.5 km/h,4.2 km/h,0.0 km/h,"1,004.88 hPa",996.99 hPa,1.52 mm
4/12/2021,26.0 C,17.0 C,9.3 C,15.8 C,12.2 C,9.1 C,99 %,77 %,40 %,7.6 km/h,0.2 km/h,0.0 km/h,"1,005.76 hPa","1,001.86 hPa",0.00 mm
4/13/2021,26.7 C,18.3 C,11.2 C,17.6 C,13.9 C,10.9 C,99 %,79 %,49 %,20.9 km/h,0.3 km/h,0.0 km/h,"1,005.49 hPa","1,001.86 hPa",0.00 mm
4/14/2021,27.2 C,22.7 C,17.6 C,17.6 C,15.9 C,13.8 C,85 %,66 %,52 %,10.1 km/h,0.4 km/h,0.0 km/h,"1,002.00 hPa",994.51 hPa,0.00 mm
4/15/2021,35.1 C,21.8 C,9.4 C,21.1 C,17.1 C,6.4 C,99 %,78 %,41 %,9.3 km/h,0.0 km/h,0.0 km/h,997.49 hPa,993.57 hPa,0.00 mm
4/16/2021,32.0 C,23.5 C,16.5 C,24.3 C,19.7 C,16.3 C,99 %,82 %,52 %,2.7 km/h,0.0 km/h,0.0 km/h,998.24 hPa,995.26 hPa,0.00 mm
4/17/2021,31.4 C,23.3 C,17.4 C,23.8 C,19.6 C,16.9 C,99 %,82 %,52 %,7.6 km/h,0.1 km/h,0.0 km/h,"1,000.37 hPa",996.75 hPa,0.00 mm
4/18/2021,30.0 C,22.6 C,16.8 C,22.6 C,18.7 C,15.9 C,99 %,80 %,52 %,16.7 km/h,0.5 km/h,0.0 km/h,"1,000.37 hPa",996.75 hPa,0.00 mm
4/19/2021,29.8 C,26.1 C,18.1 C,20.9 C,19.4 C,16.8 C,94 %,68 %,53 %,16.7 km/h,1.1 km/h,0.0 km/h,"1,000.37 hPa",996.68 hPa,0.00 mm
4/20/2021,29.9 C,22.9 C,16.9 C,21.6 C,18.2 C,16.1 C,99 %,76 %,54 %,16.7 km/h,1.1 km/h,0.0 km/h,999.19 hPa,994.07 hPa,0.00 mm
4/21/2021,24.7 C,19.0 C,15.8 C,22.9 C,17.8 C,15.6 C,99 %,93 %,76 %,29.9 km/h,1.9 km/h,0.0 km/h,996.89 hPa,992.08 hPa,15.75 mm
4/22/2021,15.8 C,15.8 C,15.8 C,15.6 C,15.6 C,15.6 C,99 %,99 %,99 %,1.9 km/h,1.9 km/h,1.6 km/h,996.38 hPa,996.38 hPa,0.00 mm
4/23/2021,15.8 C,15.8 C,15.8 C,15.6 C,15.6 C,15.6 C,99 %,99 %,99 %,1.9 km/h,1.9 km/h,1.6 km/h,996.38 hPa,996.38 hPa,0.00 mm
4/24/2021,25.9 C,18.4 C,14.3 C,18.7 C,15.2 C,10.3 C,99 %,83 %,58 %,9.3 km/h,1.4 km/h,0.0 km/h,"1,004.74 hPa",996.38 hPa,0.00 mm
4/25/2021,26.1 C,16.4 C,8.3 C,11.4 C,8.9 C,7.1 C,95 %,64 %,35 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,007.25 hPa","1,002.51 hPa",0.00 mm
4/26/2021,26.1 C,16.1 C,8.4 C,14.7 C,10.8 C,6.4 C,99 %,73 %,45 %,9.7 km/h,0.1 km/h,0.0 km/h,"1,009.25 hPa",995.56 hPa,0.00 mm
4/27/2021,25.4 C,17.2 C,12.3 C,14.2 C,11.8 C,10.0 C,88 %,72 %,45 %,9.3 km/h,0.5 km/h,0.0 km/h,"1,003.76 hPa","1,000.24 hPa",0.00 mm
4/29/2021,--,--,--,--,--,--,99 %,84 %,47 %,--,--,--,--,--,--
4/30/2021,--,--,--,--,--,--,71 %,56 %,47 %,--,--,--,--,--,--
5/1/2021,25.8 C,21.5 C,18.9 C,16.2 C,15.4 C,14.6 C,84 %,63 %,43 %,0.0 km/h,0.0 km/h,0.0 km/h,995.70 hPa,993.50 hPa,0.00 mm
5/2/2021,31.0 C,21.8 C,14.0 C,23.9 C,17.9 C,13.8 C,99 %,77 %,50 %,3.2 km/h,0.3 km/h,0.0 km/h,996.38 hPa,990.89 hPa,0.00 mm
5/3/2021,32.2 C,24.2 C,19.6 C,23.4 C,19.5 C,13.8 C,98 %,77 %,58 %,22.5 km/h,0.7 km/h,0.0 km/h,999.19 hPa,988.18 hPa,0.00 mm
5/4/2021,19.6 C,14.1 C,9.3 C,13.8 C,6.6 C,2.7 C,79 %,59 %,46 %,24.1 km/h,2.8 km/h,0.0 km/h,"1,013.51 hPa",999.26 hPa,1.02 mm
5/5/2021,14.3 C,9.8 C,7.8 C,10.1 C,8.2 C,5.7 C,99 %,91 %,69 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,013.58 hPa","1,009.18 hPa",3.05 mm
5/6/2021,24.0 C,13.0 C,5.5 C,10.4 C,7.1 C,4.8 C,99 %,73 %,31 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,012.19 hPa","1,007.18 hPa",0.00 mm
5/7/2021,18.3 C,10.7 C,5.6 C,10.5 C,6.8 C,4.7 C,99 %,80 %,45 %,1.6 km/h,0.0 km/h,0.0 km/h,"1,009.18 hPa","1,006.20 hPa",0.00 mm
5/8/2021,20.5 C,12.0 C,5.0 C,11.1 C,8.0 C,4.8 C,99 %,79 %,48 %,3.2 km/h,0.2 km/h,0.0 km/h,"1,007.76 hPa","1,002.74 hPa",0.00 mm
5/9/2021,23.9 C,13.9 C,5.4 C,13.3 C,9.4 C,4.9 C,99 %,77 %,47 %,0.0 km/h,0.0 km/h,0.0 km/h,"1,005.55 hPa","1,001.39 hPa",0.00 mm
