,FECHA,TMAXH(C),TMEDH(C),TMINH(C),HRMAXH(C),HRMEDH(C),HRMINH(C),LLUVIAH(MM),TMINF(C),TMEDF(C),TMAXF(C),RADF(W/M2),LLUVIAF(MM),T-TD(C),RADF(MJ/M2)
287,2020/11/24,41.2,30.0,9.4,82 ,42 ,23 ,0.0,,,,,,,
288,2020/11/25,27.0,22.7,9.4,85 ,76 ,59 ,0.0,,,,,,,
289,2020/11/26,28.6,22.7,9.4,88 ,56 ,28 ,0.0,,,,,,,
290,2020/11/27,35.2,26.4,9.4,82 ,50 ,30 ,0.0,,,,,,,
291,2020/11/28,36.4,26.7,9.4,89 ,68 ,41 ,0.0,,,,,,,
292,2020/11/29,34.6,22.2,9.4,99 ,86 ,44 ,14.0,,,,,,,
293,2020/11/30,30.1,22.3,9.4,90 ,59 ,32 ,0.0,,,,,,,
294,2020/12/01,34.9,25.9,9.4,82 ,50 ,33 ,0.0,,,,,,,
295,2020/12/02,28.4,22.0,9.4,99 ,81 ,54 ,35.31,,,,,,,
296,2020/12/03,34.6,24.2,9.4,99 ,63 ,20 ,0.51,,,,,,,
297,2020/12/04,21.1,16.1,9.4,88 ,74 ,38 ,5.11,,,,,,,
298,2020/12/05,30.2,19.9,9.4,83 ,50 ,23 ,0.0,,,,,,,
299,2020/12/06,32.3,22.1,9.4,82 ,49 ,26 ,0.0,,,,,,,
300,2020/12/07,32.1,23.9,9.4,82 ,47 ,30 ,0.0,,,,,,,
301,2020/12/08,35.4,26.0,9.4,85 ,53 ,29 ,0.0,,,,,,,
302,2020/12/09,36.8,27.9,9.4,87 ,53 ,29 ,0.0,,,,,,,
303,2020/12/10,29.0,23.0,9.4,93 ,71 ,52 ,0.0,,,,,,,
304,2020/12/11,31.0,26.3,9.4,82 ,26 ,17 ,2.29,,,,,,,
305,2020/12/12,33.3,23.8,9.4,82 ,56 ,34 ,1.02,,,,,,,
306,2020/12/13,21.6,19.2,9.4,86 ,77 ,26 ,0.0,,,,,,,
307,2020/12/14,9.4,9.4,9.4,87 ,52 ,21 ,0.0,,,,,,,
308,2020/12/15,9.4,9.4,9.4,82 ,60 ,33 ,0.0,,,,,,,
309,2020/12/16,9.4,9.4,9.4,82 ,56 ,24 ,0.0,,,,,,,
310,2020/12/17,35.5,19.4,9.4,82 ,51 ,24 ,0.0,,,,,,,
311,2020/12/18,36.8,34.1,9.4,88 ,42 ,32 ,14.22,,,,,,,
312,2020/12/19,28.7,24.7,9.4,87 ,47 ,34 ,3.3,,,,,,,
313,2020/12/20,30.5,22.7,9.4,86 ,54 ,29 ,0.0,,,,,,,
314,2020/12/21,32.7,24.1,9.4,82 ,49 ,28 ,0.0,,,,,,,
315,2020/12/22,30.8,22.7,9.4,88 ,59 ,31 ,0.0,,,,,,,
316,2020/12/23,34.1,26.1,9.4,82 ,45 ,23 ,0.0,,,,,,,
317,2020/12/24,35.9,27.7,9.4,82 ,48 ,30 ,0.0,,,,,,,
318,2020/12/25,38.1,26.2,9.4,91 ,65 ,34 ,3.3,,,,,,,
319,2020/12/26,38.2,29.0,9.4,87 ,57 ,30 ,0.0,,,,,,,
320,2020/12/27,36.3,28.6,9.4,86 ,59 ,37 ,0.0,,,,,,,
321,2020/12/28,32.5,24.1,9.4,99 ,82 ,55 ,19.3,,,,,,,
322,2020/12/29,37.3,26.9,9.4,99 ,71 ,41 ,0.0,,,,,,,
323,2020/12/30,27.1,21.2,9.4,93 ,69 ,35 ,7.62,,,,,,,
324,2020/12/31,31.9,22.1,9.4,83 ,49 ,24 ,0.0,,,,,,,
325,2021/01/01,33.9,25.2,9.4,89 ,51 ,28 ,0.0,,,,,,,
326,2021/01/02,36.2,28.3,9.4,82 ,42 ,25 ,0.0,,,,,,,
327,2021/01/03,30.0,23.9,9.4,82 ,62 ,43 ,0.0,,,,,,,
328,2021/01/04,35.1,26.2,9.4,83 ,58 ,30 ,0.0,,,,,,,
329,2021/01/05,28.4,22.5,9.4,96 ,73 ,48 ,1.02,,,,,,,
330,2021/01/06,29.3,22.3,9.4,94 ,61 ,25 ,0.0,,,,,,,
331,2021/01/07,9.4,9.4,9.4,82 ,47 ,15 ,0.0,,,,,,,
332,2021/01/08,9.4,9.4,9.4,88 ,51 ,23 ,3.81,,,,,,,
333,2021/01/09,9.4,9.4,9.4,90 ,71 ,40 ,4.83,,,,,,,
334,2021/01/10,,,,99 ,76 ,43 ,,,,,,,,
335,2021/01/11,9.4,9.4,9.4,99 ,85 ,78 ,29.79,,,,,,,
336,2021/01/12,9.4,9.4,9.4,82 ,82 ,82 ,0.0,,,,,,,
337,2021/01/13,9.4,9.4,9.4,82 ,82 ,82 ,0.0,,,,,,,
338,2021/01/14,9.4,9.4,9.4,82 ,82 ,82 ,0.25,,,,,,,
339,2021/01/15,18.4,11.2,9.4,99 ,79 ,57 ,35.41,,,,,,,
340,2021/01/16,25.9,21.9,9.4,99 ,77 ,53 ,2.64,,,,,,,
341,2021/01/17,29.9,21.6,9.4,84 ,56 ,32 ,0.0,,,,,,,
342,2021/01/18,34.4,23.4,9.4,88 ,56 ,27 ,0.0,,,,,,,
343,2021/01/19,34.8,24.6,9.4,87 ,55 ,29 ,0.0,,,,,,,
344,2021/01/20,35.7,26.0,9.4,85 ,54 ,28 ,0.0,,,,,,,
345,2021/01/21,36.4,26.4,9.4,83 ,56 ,30 ,0.0,,,,,,,
346,2021/01/22,35.3,27.8,9.4,82 ,63 ,47 ,0.0,,,,,,,
347,2021/01/23,36.9,29.4,9.4,87 ,64 ,42 ,0.0,,,,,,,
348,2021/01/24,38.5,29.3,9.4,89 ,67 ,36 ,0.0,,,,,,,
349,2021/01/25,37.6,27.6,9.4,99 ,76 ,45 ,22.07,,,,,,,
350,2021/01/26,33.0,25.5,9.4,99 ,85 ,62 ,4.32,,,,,,,
351,2021/01/27,37.1,25.3,9.4,95 ,83 ,49 ,0.0,,,,,,,
352,2021/01/28,,,,99 ,75 ,54 ,,,,,,,,
353,2021/01/29,23.7,22.0,9.4,99 ,89 ,72 ,43.99,,,,,,,
354,2021/01/30,25.5,20.8,9.4,99 ,93 ,76 ,35.0,,,,,,,
355,2021/01/31,19.4,17.6,9.4,99 ,93 ,82 ,5.13,,,,,,,
356,2021/02/01,25.4,19.8,9.4,99 ,89 ,70 ,1.52,,,,,,,
357,2021/02/02,25.5,20.1,9.4,99 ,88 ,66 ,0.25,,,,,,,
358,2021/02/03,29.3,22.5,9.4,99 ,78 ,50 ,0.25,,,,,,,
359,2021/02/04,32.5,23.0,9.4,95 ,69 ,39 ,0.0,,,,,,,
360,2021/02/05,33.8,24.1,9.4,99 ,67 ,34 ,0.0,,,,,,,
361,2021/02/06,33.8,24.5,9.4,91 ,63 ,35 ,0.0,,,,,,,
362,2021/02/07,33.9,25.4,9.4,91 ,65 ,41 ,0.0,,,,,,,
363,2021/02/08,28.5,22.0,9.4,89 ,78 ,61 ,0.0,,,,,,,
364,2021/02/09,27.4,21.3,9.4,93 ,82 ,59 ,0.0,,,,,,,
365,2021/02/10,31.4,23.1,9.4,91 ,71 ,42 ,0.0,,,,,,,
366,2021/02/11,35.0,23.9,9.4,96 ,69 ,36 ,0.0,,,,,,,
367,2021/02/12,35.7,24.2,9.4,92 ,76 ,41 ,12.95,,,,,,,
368,2021/02/13,33.5,24.7,9.4,99 ,74 ,42 ,14.48,,,,,,,
369,2021/02/14,36.1,25.1,9.4,99 ,75 ,38 ,0.3,,,,,,,
370,2021/02/15,31.1,23.7,9.4,98 ,82 ,60 ,0.0,,,,,,,
371,2021/02/16,30.8,21.2,9.4,99 ,83 ,45 ,0.0,,,,,,,
372,2021/02/17,,,,96 ,61 ,25 ,,,,,,,,
373,2021/02/18,33.9,27.6,9.4,96 ,48 ,26 ,0.0,,,,,,,
374,2021/02/19,31.2,23.6,9.4,99 ,70 ,44 ,16.0,,,,,,,
375,2021/02/20,31.2,23.3,9.4,94 ,71 ,50 ,0.0,,,,,,,
376,2021/02/21,32.0,25.6,9.4,86 ,73 ,51 ,0.0,,,,,,,
377,2021/02/22,37.8,27.4,9.4,99 ,76 ,45 ,0.0,,,,,,,
378,2021/02/23,26.2,21.4,9.4,99 ,89 ,75 ,24.38,,,,,,,
379,2021/02/24,34.9,24.4,9.4,98 ,69 ,33 ,0.0,,,,,,,
380,2021/02/25,33.7,25.4,9.4,99 ,70 ,46 ,0.0,,,,,,,
381,2021/02/26,33.5,25.7,9.4,97 ,66 ,40 ,0.0,,,,,,,
382,2021/02/27,36.2,25.8,9.4,89 ,65 ,40 ,0.0,,,,,,,
383,2021/02/28,,,,94 ,74 ,53 ,,,,,,,,
384,2021/03/01,,,,96 ,78 ,55 ,,,,,,,,
385,2021/03/02,,,,91 ,70 ,36 ,,,,,,,,
386,2021/03/03,9.4,9.4,9.4,89 ,78 ,45 ,0.0,,,,,,,
387,2021/03/04,23.4,20.6,9.4,98 ,83 ,50 ,0.0,,,,,,,
388,2021/03/05,32.9,24.7,19.7,99 ,79 ,45 ,0.0,,,,,,,
389,2021/03/06,34.3,25.4,18.5,89 ,71 ,46 ,0.0,,,,,,,
390,2021/03/07,32.2,24.3,16.7,84 ,68 ,49 ,0.0,,,,,,,
391,2021/03/08,34.2,24.4,18.0,89 ,68 ,38 ,0.0,,,,,,,
392,2021/03/09,35.6,25.7,16.9,90 ,64 ,37 ,0.0,,,,,,,
393,2021/03/10,34.3,25.5,9.4,95 ,61 ,33 ,0.0,,,,,,,
394,2021/03/11,35.4,24.5,18.0,93 ,67 ,36 ,0.0,,,,,,,
395,2021/03/12,24.1,20.2,9.4,99 ,90 ,76 ,5.11,,,,,,,
396,2021/03/13,33.0,23.1,17.1,99 ,81 ,46 ,2.06,,,,,,,
397,2021/03/14,28.6,23.3,20.9,99 ,84 ,68 ,3.56,,,,,,,
398,2021/03/15,23.8,20.5,17.3,99 ,93 ,82 ,1.52,,,,,,,
399,2021/03/16,29.7,23.1,17.2,99 ,73 ,57 ,29.31,,,,,,,
400,2021/03/17,21.9,18.1,0.3,99 ,87 ,0 ,0.0,,,,,,,
401,2021/03/18,23.4,16.9,12.1,96 ,80 ,55 ,0.0,,,,,,,
402,2021/03/19,24.8,18.0,11.5,91 ,75 ,54 ,0.0,,,,,,,
403,2021/03/20,23.9,19.8,15.4,95 ,81 ,66 ,0.0,,,,,,,
404,2021/03/22,31.1,24.3,16.9,99 ,63 ,38 ,0.0,,,,,,,
405,2021/03/23,29.5,20.5,13.3,99 ,80 ,40 ,0.0,,,,,,,
406,2021/03/24,28.8,22.8,17.5,99 ,85 ,70 ,0.0,,,,,,,
407,2021/03/25,28.6,22.4,20.2,99 ,96 ,73 ,51.31,,,,,,,
408,2021/03/26,21.2,18.6,15.5,99 ,97 ,88 ,0.51,,,,,,,
409,2021/03/27,25.0,17.0,11.0,99 ,76 ,46 ,0.0,,,,,,,
410,2021/03/28,26.0,18.8,10.0,98 ,74 ,55 ,0.0,,,,,,,
411,2021/03/29,24.5,24.4,0.0,93 ,58 ,0 ,0.0,,,,,,,
412,2021/03/30,,,,95 ,77 ,41 ,,,,,,,,
413,2021/03/31,,,,99 ,77 ,43 ,,,,,,,,
414,2021/04/01,,,,84 ,71 ,46 ,,,,,,,,
415,2021/04/02,,,,79 ,61 ,44 ,,,,,,,,
416,2021/04/03,,,,87 ,66 ,43 ,,,,,,,,
417,2021/04/04,26.2,22.8,21.4,87 ,68 ,47 ,0.0,,,,,,,
418,2021/04/05,28.7,21.3,17.3,99 ,83 ,63 ,0.0,,,,,,,
419,2021/04/06,28.3,21.0,15.0,99 ,88 ,64 ,0.0,,,,,,,
420,2021/04/07,28.6,23.0,17.2,99 ,88 ,70 ,0.0,,,,,,,
421,2021/04/08,32.9,26.1,21.2,99 ,84 ,64 ,0.0,,,,,,,
422,2021/04/09,25.4,20.8,19.3,99 ,99 ,91 ,22.05,,,,,,,
423,2021/04/10,22.7,19.2,14.6,99 ,98 ,88 ,14.99,,,,,,,
424,2021/04/11,24.9,16.8,11.2,99 ,76 ,43 ,1.52,,,,,,,
425,2021/04/12,26.0,17.0,9.3,99 ,77 ,40 ,0.0,,,,,,,
426,2021/04/13,26.7,18.3,11.2,99 ,79 ,49 ,0.0,,,,,,,
427,2021/04/14,27.2,22.7,17.6,85 ,66 ,52 ,0.0,,,,,,,
428,2021/04/15,35.1,21.8,9.4,99 ,78 ,41 ,0.0,,,,,,,
429,2021/04/16,32.0,23.5,16.5,99 ,82 ,52 ,0.0,,,,,,,
430,2021/04/17,31.4,23.3,17.4,99 ,82 ,52 ,0.0,,,,,,,
431,2021/04/18,30.0,22.6,16.8,99 ,80 ,52 ,0.0,,,,,,,
432,2021/04/19,29.8,26.1,18.1,94 ,68 ,53 ,0.0,,,,,,,
433,2021/04/20,29.9,22.9,16.9,99 ,76 ,54 ,0.0,,,,,,,
434,2021/04/21,24.7,19.0,15.8,99 ,93 ,76 ,15.75,,,,,,,
435,2021/04/22,15.8,15.8,15.8,99 ,99 ,99 ,0.0,,,,,,,
436,2021/04/23,15.8,15.8,15.8,99 ,99 ,99 ,0.0,,,,,,,
437,2021/04/24,25.9,18.4,14.3,99 ,83 ,58 ,0.0,,,,,,,
438,2021/04/25,26.1,16.4,8.3,95 ,64 ,35 ,0.0,,,,,,,
439,2021/04/26,26.1,16.1,8.4,99 ,73 ,45 ,0.0,,,,,,,
440,2021/04/27,25.4,17.2,12.3,88 ,72 ,45 ,0.0,,,,,,,
441,2021/04/29,,,,99 ,84 ,47 ,,,,,,,,
442,2021/04/30,,,,71 ,56 ,47 ,,,,,,,,
443,2021/05/01,25.8,21.5,18.9,84 ,63 ,43 ,0.0,,,,,,,
444,2021/05/02,31.0,21.8,14.0,99 ,77 ,50 ,0.0,,,,,,,
445,2021/05/03,32.2,24.2,19.6,98 ,77 ,58 ,0.0,,,,,,,
446,2021/05/04,19.6,14.1,9.3,79 ,59 ,46 ,1.02,,,,,,,
447,2021/05/05,14.3,9.8,7.8,99 ,91 ,69 ,3.05,,,,,,,
448,2021/05/06,24.0,13.0,5.5,99 ,73 ,31 ,0.0,,,,,,,
449,2021/05/07,18.3,10.7,5.6,99 ,80 ,45 ,0.0,,,,,,,
450,2021/05/08,20.5,12.0,5.0,99 ,79 ,48 ,0.0,,,,,,,
451,2021/05/09,23.9,13.9,5.4,99 ,77 ,47 ,0.0,,,,,,,
452,2021/05/20,15.9,14.9,14.1,99 ,93 ,84 ,0.51,,,,,,,
453,2021/05/21,15.4,15.4,15.4,99 ,99 ,87 ,0.0,,,,,,,
454,2021/05/22,,,,94 ,65 ,34 ,,,,,,,,
455,2021/05/23,,,,82 ,62 ,31 ,,,,,,,,
456,2021/05/24,,,,84 ,58 ,27 ,,,,,,,,
457,2021/05/25,24.3,17.2,8.7,85 ,52 ,31 ,0.0,,,,,,,
458,2021/05/26,25.8,14.3,5.2,99 ,70 ,37 ,0.0,,,,,,,
459,2021/05/27,25.7,15.3,5.1,99 ,74 ,40 ,0.0,,,,,,,
460,2021/05/28,24.3,17.1,11.2,89 ,67 ,42 ,0.0,,,,,,,
461,2021/05/29,20.8,12.5,9.4,71 ,47 ,22 ,0.0,,,,,,,
462,2021/05/30,21.1,11.4,3.1,87 ,62 ,26 ,0.0,,,,,,,
463,2021/05/31,26.9,13.4,3.7,83 ,63 ,30 ,0.0,,,,,,,
464,2021/06/01,27.8,15.3,8.6,80 ,61 ,28 ,0.0,,,,,,,
465,2021/06/02,29.2,15.5,9.1,92 ,71 ,34 ,0.0,,,,,,,
466,2021/06/03,24.7,15.8,7.6,99 ,71 ,35 ,0.0,,,,,,,
467,2021/06/04,30.5,19.7,12.9,99 ,79 ,53 ,0.0,,,,,,,
468,2021/06/05,17.9,17.9,17.9,70 ,70 ,70 ,0.0,,,,,,,
469,2021/06/08,17.9,16.7,12.4,99 ,78 ,70 ,0.0,,,,,,,
470,2021/06/09,20.4,16.1,12.4,99 ,98 ,90 ,0.0,,,,,,,
471,2021/06/10,21.7,15.6,11.1,99 ,90 ,68 ,0.0,,,,,,,
472,2021/06/11,22.6,12.2,3.3,99 ,68 ,37 ,0.0,,,,,,,
473,2021/06/12,24.4,15.5,9.1,99 ,84 ,57 ,0.0,,,,,,,
474,2021/06/13,24.2,15.9,9.6,99 ,80 ,51 ,0.0,,,,,,,
475,2021/06/14,16.6,12.0,7.9,99 ,86 ,65 ,0.0,,,,,,,
476,2021/06/15,12.0,9.3,7.7,78 ,70 ,59 ,0.0,,,,,,,
477,2021/06/16,7.8,4.9,2.2,99 ,93 ,69 ,12.95,,,,,,,
478,2021/06/17,12.0,6.7,4.4,99 ,90 ,66 ,0.0,,,,,,,
479,2021/06/18,11.7,8.3,5.8,94 ,85 ,68 ,0.0,,,,,,,
480,2021/06/19,17.0,8.9,2.5,99 ,80 ,47 ,0.0,,,,,,,
481,2021/06/20,16.2,8.1,0.9,99 ,88 ,55 ,0.0,,,,,,,
482,2021/06/21,18.6,11.8,8.6,99 ,92 ,71 ,0.0,,,,,,,
483,2021/06/22,18.5,12.3,9.8,99 ,93 ,72 ,0.0,,,,,,,
484,2021/06/23,19.6,13.3,10.2,99 ,94 ,72 ,0.0,,,,,,,
485,2021/06/24,21.4,12.7,6.9,99 ,85 ,52 ,0.0,,,,,,,
486,2021/06/25,19.0,11.1,3.6,99 ,89 ,66 ,0.25,,,,,,,
487,2021/06/26,15.1,9.8,5.0,99 ,79 ,45 ,0.0,,,,,,,
488,2021/06/27,13.0,4.8,4.7,78 ,69 ,35 ,0.0,,,,,,,
489,2021/06/28,13.6,8.0,0.4,87 ,62 ,43 ,0.0,,,,,,,
490,2021/06/29,19.7,6.2,2.7,95 ,64 ,21 ,0.0,,,,,,,
491,2021/06/30,14.7,5.3,0.3,99 ,76 ,41 ,0.0,,,,,,,
492,2021/07/01,17.7,9.4,1.7,95 ,67 ,37 ,0.0,,,,,,,
493,2021/07/02,20.0,9.8,1.5,99 ,66 ,32 ,0.0,,,,,,,
494,2021/07/03,19.3,9.0,0.2,94 ,64 ,35 ,0.0,,,,,,,
495,2021/07/04,20.5,11.2,4.4,88 ,71 ,49 ,0.0,,,,,,,
496,2021/07/05,22.7,12.2,3.9,99 ,76 ,42 ,0.0,,,,,,,
497,2021/07/06,22.3,14.0,6.3,99 ,82 ,65 ,0.0,,,,,,,
498,2021/07/07,21.6,15.2,11.7,99 ,90 ,71 ,1.27,,,,,,,
499,2021/07/08,22.9,14.2,9.4,99 ,93 ,71 ,0.0,,,,,,,
500,2021/07/09,26.6,18.6,11.3,99 ,77 ,48 ,0.0,,,,,,,
501,2021/07/10,18.2,13.0,4.8,99 ,64 ,28 ,1.52,,,,,,,
502,2021/07/11,19.1,11.1,4.1,82 ,60 ,34 ,0.0,,,,,,,
503,2021/07/12,27.6,17.0,11.0,80 ,68 ,50 ,0.0,,,,,,,
504,2021/07/13,20.2,14.1,9.2,78 ,63 ,45 ,1.02,,,,,,,
505,2021/07/14,12.7,10.1,6.9,99 ,96 ,68 ,12.7,,,,,,,
506,2021/07/15,21.3,9.3,1.4,99 ,79 ,36 ,0.0,,,,,,,
507,2021/07/16,18.7,9.5,0.0,99 ,82 ,51 ,0.0,,,,,,,
508,2021/07/17,15.7,9.7,4.9,83 ,50 ,24 ,0.0,,,,,,,
509,2021/07/18,17.0,7.2,1.0,73 ,49 ,26 ,0.0,,,,,,,
510,2021/07/19,18.3,8.0,0.5,85 ,60 ,27 ,0.0,,,,,,,
511,2021/07/20,21.7,10.9,2.6,79 ,50 ,26 ,0.0,,,,,,,
512,2021/07/21,22.9,11.4,4.5,74 ,53 ,27 ,0.0,,,,,,,
513,2021/07/22,16.0,15.5,14.6,79 ,54 ,29 ,0.0,,,,,,,
514,2021/07/23,14.6,9.7,9.4,73 ,72 ,57 ,0.0,,,,,,,
515,2021/07/24,21.9,11.9,9.4,77 ,72 ,54 ,0.0,,,,,,,
516,2021/07/25,18.8,12.1,7.3,85 ,71 ,55 ,0.0,,,,,,,
517,2021/07/26,19.6,10.6,3.8,80 ,57 ,36 ,0.0,,,,,,,
518,2021/07/27,17.9,7.7,2.1,74 ,46 ,22 ,0.0,,,,,,,
519,2021/07/28,13.9,6.4,0.6,79 ,52 ,32 ,0.0,,,,,,,
520,2021/07/29,17.6,7.4,2.4,82 ,53 ,25 ,0.0,,,,,,,
521,2021/07/30,18.2,8.9,1.4,85 ,52 ,26 ,0.0,,,,,,,
522,2021/07/31,23.9,11.6,2.5,83 ,51 ,19 ,0.0,,,,,,,
523,2021/08/01,24.6,11.1,2.4,76 ,54 ,22 ,0.0,,,,,,,
524,2021/08/02,20.4,10.9,2.4,98 ,62 ,36 ,0.0,,,,,,,
525,2021/08/03,21.9,14.4,3.7,92 ,54 ,34 ,0.0,,,,,,,
526,2021/08/04,23.2,18.7,8.8,78 ,42 ,27 ,0.0,,,,,,,
527,2021/08/05,23.0,14.1,4.8,83 ,65 ,41 ,0.0,,,,,,,
528,2021/08/06,25.9,16.1,6.2,99 ,74 ,41 ,0.0,,,,,,,
529,2021/08/07,31.5,18.7,9.1,99 ,64 ,31 ,0.0,,,,,,,
530,2021/08/08,16.1,11.9,6.8,99 ,71 ,56 ,5.84,,,,,,,
531,2021/08/09,14.8,8.6,4.6,99 ,75 ,39 ,0.76,,,,,,,
532,2021/08/10,19.5,8.1,1.5,86 ,60 ,31 ,0.0,,,,,,,
533,2021/08/11,21.8,9.7,1.6,98 ,63 ,26 ,0.0,,,,,,,
534,2021/08/12,18.8,9.0,1.6,84 ,60 ,30 ,0.0,,,,,,,
535,2021/08/13,20.7,9.1,0.2,80 ,61 ,32 ,0.0,,,,,,,
536,2021/08/14,24.9,11.2,0.7,84 ,59 ,27 ,0.0,,,,,,,
537,2021/08/15,22.7,11.9,3.4,85 ,58 ,32 ,0.0,,,,,,,
538,2021/08/16,25.5,16.4,6.9,99 ,66 ,47 ,0.0,,,,,,,
539,2021/08/17,31.7,19.3,10.3,99 ,70 ,36 ,0.0,,,,,,,
540,2021/08/19,35.2,29.5,20.9,78 ,69 ,32 ,0.0,,,,,,,
541,2021/08/26,23.6,18.5,0.0,68 ,32 ,0 ,0.0,,,,,,,
542,2021/08/27,24.4,13.2,4.6,75 ,48 ,22 ,0.0,,,,,,,
543,2021/08/28,28.0,16.5,7.9,79 ,54 ,28 ,0.0,,,,,,,
544,2021/08/29,27.8,18.1,7.7,76 ,55 ,33 ,0.0,,,,,,,
545,2021/08/30,30.6,21.1,9.9,99 ,64 ,49 ,0.0,,,,,,,
546,2021/08/31,32.9,25.1,18.1,77 ,60 ,41 ,0.0,,,,,,,
547,2021/09/01,32.2,24.0,18.8,99 ,68 ,42 ,0.25,,,,,,,
548,2021/09/02,18.8,16.4,14.4,99 ,99 ,99 ,1.5,,,,,,,
549,2021/09/03,19.1,15.1,13.4,99 ,99 ,95 ,0.0,,,,,,,
550,2021/09/04,26.7,18.0,14.8,99 ,93 ,73 ,0.0,,,,,,,
551,2021/09/05,17.0,15.3,0.0,97 ,88 ,0 ,0.0,,,,,,,
552,2021/09/06,26.0,21.4,15.0,99 ,77 ,63 ,0.0,,,,,,,
553,2021/09/07,19.9,16.8,14.1,99 ,95 ,89 ,0.0,,,,,,,
554,2021/09/08,18.4,14.6,11.6,98 ,72 ,57 ,14.48,,,,,,,
555,2021/09/09,14.1,11.6,10.2,88 ,78 ,47 ,1.02,,,,,,,
556,2021/09/10,,,,99 ,81 ,36 ,,,,,,,,
557,2021/09/11,21.1,18.7,17.1,99 ,65 ,39 ,0.0,,,,,,,
558,2021/09/12,35.1,22.7,12.1,87 ,54 ,16 ,0.0,,,,,,,
559,2021/09/13,21.0,15.5,12.9,78 ,61 ,51 ,3.78,,,,,,,
560,2021/09/14,23.3,14.3,6.0,69 ,44 ,18 ,0.0,,,,,,,
561,2021/09/15,24.5,14.1,2.2,81 ,44 ,19 ,0.0,,,,,,,
562,2021/09/16,26.7,16.9,5.9,78 ,44 ,18 ,0.0,,,,,,,
563,2021/09/17,29.5,18.8,7.6,85 ,47 ,17 ,0.0,,,,,,,
564,2021/09/18,29.6,20.6,10.6,87 ,65 ,47 ,0.0,,,,,,,
565,2021/09/19,29.3,20.7,12.8,99 ,81 ,59 ,0.0,,,,,,,
566,2021/09/20,21.4,17.8,13.6,99 ,84 ,67 ,0.51,,,,,,,
567,2021/09/21,22.8,15.3,10.3,90 ,57 ,23 ,0.0,,,,,,,
568,2021/09/22,22.2,15.4,11.3,83 ,56 ,37 ,0.0,,,,,,,
569,2021/09/23,25.7,15.2,6.1,99 ,69 ,30 ,0.0,,,,,,,
570,2021/09/24,28.4,17.6,6.8,87 ,61 ,34 ,0.0,,,,,,,
571,2021/09/25,27.7,19.4,10.0,96 ,63 ,38 ,0.0,,,,,,,
572,2021/09/26,35.1,21.7,11.3,99 ,56 ,24 ,0.0,,,,,,,
573,2021/09/28,16.9,15.6,14.5,90 ,86 ,71 ,0.0,,,,,,,
574,2021/09/29,26.9,19.1,12.8,99 ,78 ,44 ,0.0,,,,,,,
575,2021/09/30,30.9,20.7,13.1,99 ,76 ,49 ,3.3,,,,,,,
576,2021/10/01,28.4,19.1,9.5,79 ,47 ,20 ,0.0,,,,,,,
577,2021/10/02,32.5,19.9,13.2,77 ,51 ,34 ,3.56,,,,,,,
578,2021/10/03,24.1,15.2,9.4,59 ,37 ,19 ,0.0,,,,,,,
579,2021/10/04,28.7,16.3,4.2,70 ,39 ,15 ,0.0,,,,,,,
580,2021/10/05,27.1,18.3,7.2,80 ,46 ,27 ,0.0,,,,,,,
